role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,0.5,1784278884.373315,1784278885.814663,13,True,1784278889.955001,1784278890.819388,1784278890.8196301,1784278891.025069,1784278890.9223495,1.31397112,1784278891.0250711,1784278895.134124,1784278893.0729485,1784278895.13437,1784278895.337452,1784278895.235911,1.32469604,0.49856691112306456,1.319318210236442,1.2,0.215803,0.36767675,-0.004236,0.006562500000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3248612,3277152,0,0,0,0,4
formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,0.5,1784278904.6573172,1784278906.0906491,14,True,1784278910.2369,1784278911.1127858,1784278911.113006,1784278911.31493,1784278911.213968,1.49629487,1784278911.314933,1784278915.435943,1784278913.3734834,1784278915.436152,1784278915.6444511,1784278915.5403016,1.46412009,0.499156010390854,1.4802346351799966,1.2,0.083728,0.14300575,-0.00387875,0.006614,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1286827,1434606,0,0,0,0,4
formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,0.5,1784278917.811692,1784278919.238969,15,True,1784278923.371855,1784278924.257932,1784278924.2581592,1784278924.4611368,1784278924.359648,1.49763549,1784278924.46114,1784278928.58016,1784278926.5260165,1784278928.58038,1784278928.782013,1784278928.6811965,1.48825118,0.5012945020955663,1.4929311869910395,1.2,0.08165725,0.13960375,-0.0038665,0.00660225,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1292501,1475341,0,0,0,0,4
formal,up,48,8,0,16,1.859191381094913,1.728637904893814,0.5,1784278933.8028731,1784278935.238303,16,True,1784278939.371616,1784278940.238324,1784278940.238546,1784278940.4460611,1784278940.3423035,1.50836042,1784278940.446063,1784278944.570862,1784278942.5062351,1784278944.571188,1784278944.781352,1784278944.67627,1.48691056,0.49929587858888336,1.4976505933056916,1.2,-0.04262375,-0.07265875,-0.00288775,0.005572249999999999,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-709088,851702,0,0,0,0,4
formal,down,48,8,1,17,1.859191381094913,1.989744857296012,0.5,1784278946.93947,1784278948.3796961,17,True,1784278952.52035,1784278953.394649,1784278953.39486,1784278953.605024,1784278953.499942,1.48020748,1784278953.605026,1784278957.736175,1784278955.671163,1784278957.736392,1784278957.946522,1784278957.841457,1.50165734,0.5001067841400209,1.4909347005048537,1.2,-0.0452965,-0.07734275,-0.0028692500000000003,0.0055585,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-793437,877786,0,0,0,0,4
formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,0.5,1784278978.77943,1784278980.226316,18,True,1784278984.358558,1784278985.2412648,1784278985.241486,1784278985.446239,1784278985.3438625,1.11555997,1784278985.4462411,1784278989.5827909,1784278987.5134246,1784278989.583039,1784278989.790869,1784278989.686954,1.10349443,0.49954326484172423,1.1095327107563215,1.0957315000000003,0.28692075,0.48754975000000006,-0.0022440000000000003,0.0030882500000000003,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4150619,4168149,0,0,0,0,4
formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,0.5,1784278991.946931,1784278993.388821,19,True,1784278997.510933,1784278998.385737,1784278998.385983,1784278998.592556,1784278998.4892695,1.11019751,1784278998.592559,1784279002.720319,1784279000.6635895,1784279002.720594,1784279002.9261281,1784279002.823361,1.08070396,0.5016783840820284,1.0954012334951575,1.0911075000000001,0.287939,0.489792,-0.0022865,0.00309075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4164508,4171791,0,0,0,0,4
formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,0.5,1784279035.272867,1784279036.713387,20,True,1784279040.830528,1784279041.7031329,1784279041.703358,1784279041.913558,1784279041.8084579,0.0511109795,1784279041.913561,1784279046.0517051,1784279043.987816,1784279046.051918,1784279046.2541,1784279046.153009,0.065857754,0.5016302491531287,0.058508407666640005,0.0600005,0.1283725,0.21789524999999998,0.00250175,-0.00528075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1914954,1838904,0,0,0,0,4
formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,0.5,1784279048.438385,1784279049.867083,21,True,1784279053.987531,1784279054.86599,1784279054.8662038,1784279055.076376,1784279054.9712899,0.0497703637,1784279055.0763788,1784279059.181897,1784279057.1299152,1784279059.1821089,1784279059.3880582,1784279059.2850835,0.0645171381,0.5004006994388329,0.05714965992422667,0.056052,0.12427775,0.21115625,0.00255125,-0.0053047500000000004,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1851777,1764888,0,0,0,0,4
formal,down,69,11,0,22,4.600814381317985,4.731367857519084,0.5,1784279143.3917131,1784279144.8286662,22,True,1784279148.944159,1784279149.818471,1784279149.818671,1784279150.028416,1784279149.9235435,0.643663188,1784279150.0284212,1784279154.1287198,1784279152.0809894,1784279154.128941,1784279154.339087,1784279154.234014,0.614169639,0.5005128481969338,0.6289012877865742,0.6100142500000001,-0.320257,-0.542075,0.00021275,0.0008240000000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4468536,4544839,0,0,0,0,4
formal,up,69,11,1,23,4.600814381317985,4.470260905116886,0.5,1784279156.49576,1784279157.922848,23,True,1784279162.064269,1784279162.94803,1784279162.948256,1784279163.158476,1784279163.0533662,0.614169639,1784279163.158478,1784279167.2737641,1784279165.2113764,1784279167.2739651,1784279167.484148,1784279167.3790565,0.615510255,0.49888228466108075,0.6148384485729332,0.596958,-0.31892024999999996,-0.5401495000000001,0.00030375000000000004,0.0007247499999999999,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4493519,4573040,0,0,0,0,4
formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,0.5,1784279186.8681679,1784279188.2985458,24,True,1784279192.417749,1784279193.2868018,1784279193.2870688,1784279193.49727,1784279193.3921695,1.28447757,1784279193.497291,1784279197.6393201,1784279195.5702353,1784279197.639501,1784279197.84965,1784279197.7445755,1.27509326,0.5004279849691986,1.2797813986563737,1.2,-0.23181425,-0.39391175,-0.00069825,0.00255675,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3310773,3429590,0,0,0,0,4
formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,0.5,1784279199.998718,1784279201.4504771,25,True,1784279205.593178,1784279206.460327,1784279206.460583,1784279206.670727,1784279206.565655,1.28849942,1784279206.6707299,1784279210.7797272,1784279208.7268443,1784279210.779941,1784279210.988441,1784279210.884191,1.29386188,0.5004448952377577,1.2911830357329166,1.2,-0.23226799999999997,-0.39501925,-0.0007342500000000001,0.00251675,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3343462,3404438,0,0,0,0,4
formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,0.5,1784279254.8913531,1784279256.312593,26,True,1784279260.428687,1784279261.312705,1784279261.312972,1784279261.5176399,1784279261.415306,0.673156737,1784279261.517643,1784279265.656161,1784279263.5868027,1784279265.6563892,1784279265.8576481,1784279265.7570186,0.681200432,0.5001474976307575,0.677179770925955,0.665454,0.32125175,0.54475475,-0.00217525,0.00217525,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4546025,4639943,0,0,0,0,4
formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,0.5,1784279268.022346,1784279269.4439082,27,True,1784279273.5603468,1784279274.436043,1784279274.436385,1784279274.6426098,1784279274.5394974,0.673156737,1784279274.642613,1784279278.769165,1784279276.7070594,1784279278.769431,1784279278.979576,1784279278.8745036,0.64634442,0.5000135846146044,0.6597502142650069,0.6554552499999999,0.32081425,0.5445565,-0.00219775,0.00210275,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4550767,4632660,0,0,0,0,4
formal,up,25,14,0,28,-1.1435385715303568,-1.2740920477314557,0.5,1784279279.6952698,1784279281.1365068,28,True,1784279285.29152,1784279286.175126,1784279286.1753511,1784279286.377085,1784279286.276218,0.718737676,1784279286.3770869,1784279290.500823,1784279288.437437,1784279290.501058,1784279290.7020679,1784279290.601563,0.714715829,0.4996639806431684,0.7167281039184422,0.7053192500000001,0.3237565,0.54978575,-0.00269325,0.003007,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4603528,4653917,0,0,0,0,4
