sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
570,86,25,1.598084428692716,1.7286379048938145,0.13055347620109847,1784349999.083267,1784350000.5224352,1784349999.8028512,1.70811218,"[dac] CH_A set to +1.729 V (code=38432)
"
571,86,26,1.7286379048938145,1.859191381094913,0.13055347620109847,1784350000.522621,1784350001.940802,1784350001.2317114,1.69872787,"[dac] CH_A set to +1.859 V (code=38860)
"
572,86,27,1.859191381094913,1.989744857296012,0.13055347620109892,1784350001.941039,1784350003.3714292,1784350002.6562343,1.68934356,"[dac] CH_A set to +1.990 V (code=39287)
"
573,86,28,1.989744857296012,2.120298333497111,0.13055347620109892,1784350003.372499,1784350004.811827,1784350004.092163,1.71883711,"[dac] CH_A set to +2.120 V (code=39715)
"
574,86,29,2.120298333497111,2.2508518096982093,0.13055347620109847,1784350004.812059,1784350006.24327,1784350005.5276644,1.71481526,"[dac] CH_A set to +2.251 V (code=40143)
"
575,86,30,2.2508518096982093,2.3814052858993078,0.13055347620109847,1784350006.243627,1784350007.67958,1784350006.9616036,1.6933654,"[dac] CH_A set to +2.381 V (code=40571)
"
576,86,31,2.3814052858993078,2.5119587621004067,0.13055347620109892,1784350007.679805,1784350009.115255,1784350008.39753,1.68264048,"[dac] CH_A set to +2.512 V (code=40999)
"
577,86,32,2.5119587621004067,2.6425122383015056,0.13055347620109892,1784350009.115469,1784350010.567447,1784350009.8414578,1.67727801,"[dac] CH_A set to +2.642 V (code=41426)
"
578,86,33,2.6425122383015056,2.7730657145026045,0.13055347620109892,1784350010.5676742,1784350012.0029922,1784350011.2853332,1.66253124,"[dac] CH_A set to +2.773 V (code=41854)
"
579,86,34,2.7730657145026045,2.9036191907037026,0.13055347620109803,1784350012.003208,1784350013.4378262,1784350012.7205172,1.62231276,"[dac] CH_A set to +2.904 V (code=42282)
"
580,86,35,2.9036191907037026,3.0341726669048015,0.13055347620109892,1784350013.438046,1784350014.880521,1784350014.1592836,1.60220353,"[dac] CH_A set to +3.034 V (code=42710)
"
581,86,36,3.0341726669048015,3.1647261431059004,0.13055347620109892,1784350014.880747,1784350016.3253691,1784350015.603058,1.53651335,"[dac] CH_A set to +3.165 V (code=43137)
"
582,86,37,3.1647261431059004,3.2952796193069984,0.13055347620109803,1784350016.325541,1784350017.7656178,1784350017.0455794,1.5070198,"[dac] CH_A set to +3.295 V (code=43565)
"
583,86,38,3.2952796193069984,3.4258330955080973,0.13055347620109892,1784350017.765919,1784350019.206082,1784350018.4860005,1.48288871,"[dac] CH_A set to +3.426 V (code=43993)
"
584,87,0,3.2952796193069984,3.230002881206449,-0.06527673810054946,1784350047.761141,1784350049.198595,1784350048.479868,1.48691056,"[dac] CH_A set to +3.230 V (code=43351)
"
585,87,1,3.230002881206449,3.1647261431058995,-0.06527673810054946,1784350049.19882,1784350050.63064,1784350049.91473,1.5324915,"[dac] CH_A set to +3.165 V (code=43137)
"
586,88,0,3.2952796193069984,3.1740513914059783,-0.12122822790102017,1784350079.171259,1784350080.591938,1784350079.8815985,1.51506349,"[dac] CH_A set to +3.174 V (code=43168)
"
587,88,1,3.1740513914059783,3.052823163504958,-0.12122822790102017,1784350080.592972,1784350082.021867,1784350081.3074195,1.55394135,"[dac] CH_A set to +3.053 V (code=42771)
"
588,88,2,3.052823163504958,2.931594935603938,-0.12122822790102017,1784350082.022059,1784350083.4714382,1784350082.7467484,1.55662259,"[dac] CH_A set to +2.932 V (code=42374)
"
589,88,3,2.931594935603938,2.8103667077029173,-0.12122822790102061,1784350083.471628,1784350084.903109,1784350084.1873684,1.60086291,"[dac] CH_A set to +2.810 V (code=41976)
"
590,88,4,2.8103667077029173,2.689138479801897,-0.12122822790102017,1784350084.903347,1784350086.338308,1784350085.6208277,1.63303769,"[dac] CH_A set to +2.689 V (code=41579)
"
591,88,5,2.689138479801897,2.567910251900877,-0.12122822790102017,1784350086.339392,1784350087.7613199,1784350087.050356,1.65850939,"[dac] CH_A set to +2.568 V (code=41182)
"
592,88,6,2.567910251900877,2.446682023999857,-0.12122822790102017,1784350087.761548,1784350089.2071402,1784350088.484344,1.65850939,"[dac] CH_A set to +2.447 V (code=40785)
"
593,88,7,2.446682023999857,2.3254537960988366,-0.12122822790102017,1784350089.207407,1784350090.62941,1784350089.9184084,1.70677156,"[dac] CH_A set to +2.326 V (code=40388)
"
594,88,8,2.3254537960988366,2.204225568197816,-0.12122822790102061,1784350090.6296399,1784350092.075954,1784350091.352797,1.72822142,"[dac] CH_A set to +2.204 V (code=39990)
"
595,88,9,2.204225568197816,2.082997340296796,-0.12122822790102017,1784350092.076164,1784350093.512769,1784350092.7944665,1.7268808,"[dac] CH_A set to +2.083 V (code=39593)
"
596,88,10,2.082997340296796,1.961769112395776,-0.12122822790101995,1784350093.512972,1784350094.954915,1784350094.2339435,1.71615587,"[dac] CH_A set to +1.962 V (code=39196)
"
597,88,11,1.961769112395776,1.8405408844947555,-0.12122822790102039,1784350094.955151,1784350096.405497,1784350095.680324,1.69738725,"[dac] CH_A set to +1.840 V (code=38798)
"
598,88,12,1.8405408844947555,1.7193126565937353,-0.12122822790102017,1784350096.406701,1784350097.8358788,1784350097.12129,1.71749649,"[dac] CH_A set to +1.719 V (code=38401)
"
599,88,13,1.7193126565937353,1.5980844286927152,-0.12122822790102017,1784350097.8360682,1784350099.270826,1784350098.5534472,1.66119062,"[dac] CH_A set to +1.598 V (code=38004)
"
600,89,0,1.728637904893814,1.7939146429943635,0.06527673810054946,1784350127.7455769,1784350129.182859,1784350128.464218,1.71347464,"[dac] CH_A set to +1.794 V (code=38646)
"
601,89,1,1.7939146429943635,1.859191381094913,0.06527673810054946,1784350129.183298,1784350130.621734,1784350129.902516,1.70945279,"[dac] CH_A set to +1.859 V (code=38860)
"
602,90,0,1.728637904893814,1.5980844286927154,-0.1305534762010987,1784350159.12325,1784350160.551908,1784350159.837579,1.68666232,"[dac] CH_A set to +1.598 V (code=38004)
"
603,90,1,1.5980844286927154,1.4675309524916167,-0.1305534762010987,1784350160.5521548,1784350161.983767,1784350161.267961,1.68398109,"[dac] CH_A set to +1.467 V (code=37576)
"
604,90,2,1.4675309524916167,1.3369774762905182,-0.13055347620109847,1784350161.98398,1784350163.4328132,1784350162.7083964,1.65582816,"[dac] CH_A set to +1.337 V (code=37149)
"
605,90,3,1.3369774762905182,1.2064240000894195,-0.1305534762010987,1784350163.433086,1784350164.872202,1784350164.152644,1.62231276,"[dac] CH_A set to +1.206 V (code=36721)
"
606,90,4,1.2064240000894195,1.0758705238883208,-0.1305534762010987,1784350164.8724039,1784350166.3050492,1784350165.5887265,1.60756599,"[dac] CH_A set to +1.076 V (code=36293)
"
607,90,5,1.0758705238883208,0.9453170476872222,-0.13055347620109858,1784350166.30525,1784350167.7303722,1784350167.017811,1.57136936,"[dac] CH_A set to +0.945 V (code=35865)
"
608,90,6,0.9453170476872222,0.8147635714861237,-0.13055347620109858,1784350167.7306528,1784350169.1801789,1784350168.4554157,1.5324915,"[dac] CH_A set to +0.815 V (code=35437)
"
609,90,7,0.8147635714861237,0.684210095285025,-0.1305534762010987,1784350169.180492,1784350170.6182752,1784350169.8993835,1.46948256,"[dac] CH_A set to +0.684 V (code=35009)
"
610,90,8,0.684210095285025,0.5536566190839263,-0.1305534762010987,1784350170.618507,1784350172.0484748,1784350171.3334908,1.43998901,"[dac] CH_A set to +0.554 V (code=34582)
"
611,90,9,0.5536566190839263,0.4231031428828276,-0.1305534762010987,1784350172.048704,1784350173.475787,1784350172.7622454,1.39306745,"[dac] CH_A set to +0.423 V (code=34154)
"
612,90,10,0.4231031428828276,0.2925496666817291,-0.13055347620109847,1784350173.4759822,1784350174.9110138,1784350174.1934981,1.31933358,"[dac] CH_A set to +0.292 V (code=33726)
"
613,90,11,0.2925496666817291,0.1619961904806304,-0.1305534762010987,1784350174.911346,1784350176.3569999,1784350175.634173,1.27777449,"[dac] CH_A set to +0.162 V (code=33298)
"
614,90,12,0.1619961904806304,0.031442714279531714,-0.1305534762010987,1784350176.3572218,1784350177.7962408,1784350177.0767312,1.22951232,"[dac] CH_A set to +0.031 V (code=32870)
"
615,91,0,-0.0991107619215672,-0.16438750002211666,-0.06527673810054946,1784350206.330378,1784350207.763907,1784350207.0471425,1.10349443,"[dac] CH_A set to -0.164 V (code=32229)
"
616,91,1,-0.16438750002211666,-0.22966423812266612,-0.06527673810054946,1784350207.764194,1784350209.204504,1784350208.484349,1.06461657,"[dac] CH_A set to -0.230 V (code=32015)
"
617,92,0,-0.0991107619215672,-0.20355354288244626,-0.10444278096087906,1784350237.7375,1784350239.169576,1784350238.453538,1.06997903,"[dac] CH_A set to -0.204 V (code=32100)
"
618,92,1,-0.20355354288244626,-0.3079963238433253,-0.10444278096087906,1784350239.170152,1784350240.6027908,1784350239.8864713,1.01769501,"[dac] CH_A set to -0.308 V (code=31758)
"
619,92,2,-0.3079963238433253,-0.4124391048042043,-0.104442780960879,1784350240.6030269,1784350242.029655,1784350241.316341,0.982839,"[dac] CH_A set to -0.412 V (code=31416)
"
620,92,3,-0.4124391048042043,-0.5168818857650834,-0.10444278096087911,1784350242.0304582,1784350243.4700842,1784350242.7502713,0.931895597,"[dac] CH_A set to -0.517 V (code=31074)
"
621,92,4,-0.5168818857650834,-0.6213246667259624,-0.104442780960879,1784350243.470308,1784350244.918693,1784350244.1945004,0.859502341,"[dac] CH_A set to -0.621 V (code=30732)
"
622,93,0,-0.4907711905248635,-0.42549445242431405,0.06527673810054946,1784350273.449864,1784350274.8851998,1784350274.167532,0.968092225,"[dac] CH_A set to -0.426 V (code=31373)
"
623,93,1,-0.42549445242431405,-0.3602177143237646,0.06527673810054946,1784350274.885414,1784350276.321439,1784350275.6034265,0.990882695,"[dac] CH_A set to -0.360 V (code=31587)
"
624,94,0,-0.4907711905248635,-0.36615196324199656,0.12461922728286695,1784350304.8186162,1784350306.25683,1784350305.537723,0.988201463,"[dac] CH_A set to -0.366 V (code=31568)
"
625,94,1,-0.36615196324199656,-0.24153273595912958,0.12461922728286698,1784350306.257899,1784350307.701161,1784350306.9795299,1.02305748,"[dac] CH_A set to -0.242 V (code=31976)
"
626,94,2,-0.24153273595912958,-0.1169135086762626,0.12461922728286698,1784350307.701382,1784350309.1297169,1784350308.4155493,1.10483504,"[dac] CH_A set to -0.117 V (code=32384)
"
