dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
298,18,post,2,1784346472.678349,1784346472.880979,1784346472.779664,1.00697009
299,18,post,3,1784346472.88116,1784346473.0912871,1784346472.9862237,1.00026701
300,18,post,4,1784346473.091531,1784346473.29934,1784346473.1954355,1.0163544
301,18,post,5,1784346473.299529,1784346473.5096698,1784346473.4045994,1.01903563
302,18,post,6,1784346473.509883,1784346473.717611,1784346473.6137471,0.997585774
303,18,post,7,1784346473.71786,1784346473.920439,1784346473.8191495,1.02976055
304,19,pre,0,1784346483.353766,1784346483.563898,1784346483.458832,1.01501378
305,19,pre,1,1784346483.564119,1784346483.772953,1784346483.6685362,1.00026701
306,19,pre,2,1784346483.773195,1784346483.9805388,1784346483.8768668,0.988201463
307,19,pre,3,1784346483.980758,1784346484.1866791,1784346484.0837185,1.04852918
308,19,pre,4,1784346484.186867,1784346484.390429,1784346484.2886481,1.02037624
309,19,pre,5,1784346484.390723,1784346484.6009128,1784346484.495818,1.01903563
310,19,pre,6,1784346484.6011379,1784346484.808497,1784346484.7048173,1.01769501
311,19,pre,7,1784346484.8086772,1784346485.018892,1784346484.9137845,1.01099193
312,19,post,0,1784346503.6739762,1784346503.87476,1784346503.774368,1.01099193
313,19,post,1,1784346503.874944,1784346504.084865,1784346503.9799047,0.989542079
314,19,post,2,1784346504.0850492,1784346504.2890072,1784346504.1870282,0.99892639
315,19,post,3,1784346504.2891881,1784346504.49371,1784346504.391449,1.04986979
316,19,post,4,1784346504.494009,1784346504.703156,1784346504.5985825,1.00562947
317,19,post,5,1784346504.703424,1784346504.913588,1784346504.808506,0.997585774
318,19,post,6,1784346504.913815,1784346505.1182,1784346505.0160074,1.01367316
319,19,post,7,1784346505.118387,1784346505.319871,1784346505.219129,1.03244179
320,20,pre,0,1784346544.862908,1784346545.064851,1784346544.9638796,0.018936199
321,20,pre,1,1784346545.065282,1784346545.268652,1784346545.166967,0.0202768148
322,20,pre,2,1784346545.268938,1784346545.479056,1784346545.373997,-0.00385413641
323,20,pre,3,1784346545.47926,1784346545.6828969,1784346545.5810785,0.0296611258
324,20,pre,4,1784346545.683095,1784346545.893255,1784346545.788175,0.0149143514
325,20,pre,5,1784346545.8935559,1784346546.09603,1784346545.994793,0.018936199
326,20,pre,6,1784346546.096253,1784346546.304598,1784346546.2004256,-0.00385413926
327,20,pre,7,1784346546.3048341,1784346546.5115268,1784346546.4081805,0.0108925038
328,20,post,0,1784346565.165079,1784346565.367831,1784346565.2664552,0.0269798941
329,20,post,1,1784346565.368049,1784346565.578169,1784346565.473109,-0.0105569873
330,20,post,2,1784346565.578361,1784346565.787971,1784346565.683166,0.0430672844
331,20,post,3,1784346565.788259,1784346565.991253,1784346565.889756,0.0175955831
332,20,post,4,1784346565.991462,1784346566.192632,1784346566.092047,0.0323423575
333,20,post,5,1784346566.192827,1784346566.394628,1784346566.2937274,0.0457485161
334,20,post,6,1784346566.3948421,1784346566.604966,1784346566.4999042,-0.00117295037
335,20,post,7,1784346566.605184,1784346566.807341,1784346566.7062626,0.0149143514
336,21,pre,0,1784346576.196129,1784346576.406283,1784346576.301206,0.0296611258
337,21,pre,1,1784346576.406483,1784346576.611825,1784346576.5091538,-0.0226221218
338,21,pre,2,1784346576.612021,1784346576.820862,1784346576.7164416,0.0122331197
339,21,pre,3,1784346576.821059,1784346577.026499,1784346576.923779,0.0242986624
340,21,pre,4,1784346577.026732,1784346577.227975,1784346577.1273534,0.0296611258
341,21,pre,5,1784346577.228221,1784346577.438369,1784346577.3332949,0.0390454368
342,21,pre,6,1784346577.4386282,1784346577.645872,1784346577.5422502,0.0175955831
343,21,pre,7,1784346577.646104,1784346577.8541608,1784346577.7501326,0.0202768148
344,21,post,0,1784346596.520938,1784346596.721791,1784346596.6213646,-0.0279844025
345,21,post,1,1784346596.7219908,1784346596.932132,1784346596.8270614,0.0162549673
346,21,post,2,1784346596.932364,1784346597.137322,1784346597.034843,0.0202768148
347,21,post,3,1784346597.137589,1784346597.342952,1784346597.2402706,0.0175955831
348,21,post,4,1784346597.3431392,1784346597.543373,1784346597.4432561,0.00821136062
349,21,post,5,1784346597.543537,1784346597.746739,1784346597.6451378,0.0189362418
350,21,post,6,1784346597.746967,1784346597.953668,1784346597.8503175,0.0108925038
351,21,post,7,1784346597.95388,1784346598.162005,1784346598.0579424,0.00284885152
352,22,pre,0,1784346689.3434072,1784346689.546336,1784346689.4448714,0.962729762
353,22,pre,1,1784346689.546548,1784346689.756675,1784346689.6516113,0.962729762
354,22,pre,2,1784346689.7568672,1784346689.967026,1784346689.8619466,0.973454689
