window_sequence_index,source_sequence_index,window_index,role,direction,grid_index,target_ordinal,pair_position,bias,t_start_unix,t_end_unix,t_mid_unix,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
31,115,3,formal,up,36,57,1,0.29254966668172866,1784282811.1071758,1784282812.1327848,1784282811.6199803,1.2,0.243195,0.414234,-0.004387,0.006591,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-3486076,3675183,0,0,0,0,1
32,116,0,formal,up,31,58,0,-0.36021771432376504,1784282828.326685,1784282829.350353,1784282828.838519,1.198624,0.328809,0.55859,-0.00482,0.006923,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4626224,4787469,0,0,0,0,1
33,116,1,formal,up,31,58,0,-0.36021771432376504,1784282829.350615,1784282830.380374,1784282829.8654945,1.198807,0.329072,0.559108,-0.004809,0.006988,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4647142,4722937,0,0,0,0,1
34,116,2,formal,up,31,58,0,-0.36021771432376504,1784282830.3806489,1784282831.4139059,1784282830.8972774,1.198183,0.329119,0.55926,-0.004859,0.006921,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4597854,4731491,0,0,0,0,1
35,116,3,formal,up,31,58,0,-0.36021771432376504,1784282831.414171,1784282832.431376,1784282831.9227734,1.197671,0.329139,0.559314,-0.004759,0.006946,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4648158,4781880,0,0,0,0,1
36,117,0,formal,down,31,58,1,-0.36021771432376504,1784282841.486028,1784282842.5117881,1784282841.998908,1.193817,0.329882,0.560799,-0.004722,0.006851,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4681017,4790010,0,0,0,0,1
37,117,1,formal,down,31,58,1,-0.36021771432376504,1784282842.5119889,1784282843.528379,1784282843.020184,1.193815,0.330043,0.561172,-0.004773,0.006861,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4635624,4813214,0,0,0,0,1
38,117,2,formal,down,31,58,1,-0.36021771432376504,1784282843.5285811,1784282844.5560892,1784282844.042335,1.193136,0.329967,0.561224,-0.004808,0.006872,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4667382,4792804,0,0,0,0,1
39,117,3,formal,down,31,58,1,-0.36021771432376504,1784282844.556344,1784282845.574663,1784282845.0655036,1.191596,0.329784,0.560846,-0.004772,0.006886,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-4664164,4780101,0,0,0,0,1
40,118,0,formal,down,49,59,0,1.989744857296012,1784282880.4143329,1784282881.440842,1784282880.9275875,1.2,-0.087645,-0.149394,-0.002663,0.005404,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1441297,1478474,0,0,0,0,1
41,118,1,formal,down,49,59,0,1.989744857296012,1784282881.441081,1784282882.474926,1784282881.9580035,1.2,-0.088022,-0.149919,-0.002681,0.005402,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1333405,1524968,0,0,0,0,1
42,118,2,formal,down,49,59,0,1.989744857296012,1784282882.47513,1784282883.505078,1784282882.9901042,1.2,-0.088375,-0.150585,-0.002641,0.005367,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1351104,1450019,0,0,0,0,1
43,118,3,formal,down,49,59,0,1.989744857296012,1784282883.5053172,1784282884.541271,1784282884.023294,1.2,-0.088592,-0.15111,-0.002629,0.005378,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1352629,1464078,0,0,0,0,1
44,119,0,formal,up,49,59,1,1.989744857296012,1784282893.589718,1784282894.610055,1784282894.0998864,1.2,-0.090122,-0.153639,-0.002591,0.005363,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1400054,1492448,0,0,0,0,1
45,119,1,formal,up,49,59,1,1.989744857296012,1784282894.610295,1784282895.6427321,1784282895.1265135,1.2,-0.090271,-0.15398,-0.002602,0.005357,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1383624,1544531,0,0,0,0,1
46,119,2,formal,up,49,59,1,1.989744857296012,1784282895.642945,1784282896.6717591,1784282896.157352,1.2,-0.090396,-0.154277,-0.002579,0.005344,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1380406,1513281,0,0,0,0,1
47,119,3,formal,up,49,59,1,1.989744857296012,1784282896.671979,1784282897.706082,1784282897.1890306,1.2,-0.090547,-0.154435,-0.002595,0.005376,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-1415213,1558589,0,0,0,0,1
48,120,0,formal,up,66,60,0,4.20915395271469,1784282926.8917189,1784282927.923177,1784282927.4074478,0.836769,-0.364051,-0.615761,0.001783,-0.000989,1,acq,20480,20480,0,16,True,False,1,1200000,8381618,False,-5116141,5186347,0,0,0,0,1
