sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
54,110,23,-0.6642208089063231,-0.5355323823652403,0.1286884265410828,1784282619.273493,1784282620.691707,1784282619.9826,1.06059472,"[dac] CH_A set to -0.535 V (code=31013)
"
55,110,24,-0.5355323823652403,-0.406843955824157,0.12868842654108326,1784282620.691912,1784282622.141054,1784282621.416483,1.1008132,"[dac] CH_A set to -0.407 V (code=31435)
"
56,110,25,-0.406843955824157,-0.2781555292830742,0.1286884265410828,1784282622.1412969,1784282623.566009,1784282622.853653,1.18527199,"[dac] CH_A set to -0.278 V (code=31856)
"
57,110,26,-0.2781555292830742,-0.14946710274199093,0.12868842654108326,1784282623.566237,1784282624.9927402,1784282624.2794886,1.23085293,"[dac] CH_A set to -0.149 V (code=32278)
"
58,110,27,-0.14946710274199093,-0.02077867620090812,0.1286884265410828,1784282624.992974,1784282626.433577,1784282625.7132754,1.30324619,"[dac] CH_A set to -0.021 V (code=32699)
"
59,110,28,-0.02077867620090812,0.10790975034017514,0.12868842654108326,1784282626.4337962,1784282627.868137,1784282627.1509666,1.37698006,"[dac] CH_A set to +0.108 V (code=33121)
"
60,110,29,0.10790975034017514,0.23659817688125795,0.1286884265410828,1784282627.8683589,1784282629.301483,1784282628.584921,1.45071393,"[dac] CH_A set to +0.237 V (code=33543)
"
61,110,30,0.23659817688125795,0.3652866034223412,0.12868842654108326,1784282629.301704,1784282630.734499,1784282630.0181015,1.45473578,"[dac] CH_A set to +0.365 V (code=33964)
"
62,110,31,0.3652866034223412,0.493975029963424,0.1286884265410828,1784282630.7346969,1784282632.1848068,1784282631.4597518,1.48556995,"[dac] CH_A set to +0.494 V (code=34386)
"
63,110,32,0.493975029963424,0.6226634565045068,0.1286884265410828,1784282632.185054,1784282633.601469,1784282632.8932614,1.51774473,"[dac] CH_A set to +0.623 V (code=34808)
"
64,110,33,0.6226634565045068,0.7513518830455896,0.1286884265410828,1784282633.6016798,1784282635.0496168,1784282634.3256483,1.54857889,"[dac] CH_A set to +0.751 V (code=35230)
"
65,110,34,0.7513518830455896,0.8800403095866733,0.1286884265410837,1784282635.0500329,1784282636.490272,1784282635.7701526,1.57673182,"[dac] CH_A set to +0.880 V (code=35651)
"
66,110,35,0.8800403095866733,1.0087287361277562,0.1286884265410828,1784282636.4905028,1784282637.90698,1784282637.1987414,1.64376262,"[dac] CH_A set to +1.009 V (code=36073)
"
67,110,36,1.0087287361277562,1.137417162668839,0.1286884265410828,1784282637.907223,1784282639.3418849,1784282638.624554,1.66655309,"[dac] CH_A set to +1.137 V (code=36494)
"
68,110,37,1.137417162668839,1.2661055892099218,0.1286884265410828,1784282639.342148,1784282640.776833,1784282640.0594907,1.67861863,"[dac] CH_A set to +1.266 V (code=36916)
"
69,110,38,1.2661055892099218,1.3947940157510055,0.1286884265410837,1784282640.7770529,1784282642.208781,1784282641.492917,1.67861863,"[dac] CH_A set to +1.395 V (code=37338)
"
70,110,39,1.3947940157510055,1.5234824422920883,0.1286884265410828,1784282642.209013,1784282643.66341,1784282642.9362116,1.70274971,"[dac] CH_A set to +1.523 V (code=37760)
"
71,110,40,1.5234824422920883,1.652170868833171,0.1286884265410828,1784282643.663619,1784282645.100524,1784282644.3820715,1.69470602,"[dac] CH_A set to +1.652 V (code=38181)
"
72,110,41,1.652170868833171,1.780859295374254,0.1286884265410828,1784282645.10079,1784282646.535712,1784282645.8182511,1.72017772,"[dac] CH_A set to +1.781 V (code=38603)
"
73,110,42,1.780859295374254,1.9095477219153367,0.1286884265410828,1784282646.535925,1784282647.98503,1784282647.2604775,1.70811218,"[dac] CH_A set to +1.910 V (code=39024)
"
74,110,43,1.9095477219153367,2.0382361484564204,0.1286884265410837,1784282647.9852319,1784282649.418289,1784282648.7017603,1.68129986,"[dac] CH_A set to +2.038 V (code=39446)
"
75,110,44,2.0382361484564204,2.1669245749975032,0.1286884265410828,1784282649.41855,1784282650.859964,1784282650.139257,1.66521247,"[dac] CH_A set to +2.167 V (code=39868)
"
76,110,45,2.1669245749975032,2.295613001538586,0.1286884265410828,1784282650.860158,1784282652.285687,1784282651.5729225,1.66655309,"[dac] CH_A set to +2.296 V (code=40290)
"
77,110,46,2.295613001538586,2.424301428079669,0.1286884265410828,1784282652.285915,1784282653.732532,1784282653.0092235,1.61158784,"[dac] CH_A set to +2.424 V (code=40711)
"
78,110,47,2.424301428079669,2.5529898546207517,0.1286884265410828,1784282653.73279,1784282655.169965,1784282654.4513774,1.58745675,"[dac] CH_A set to +2.553 V (code=41133)
"
79,110,48,2.5529898546207517,2.6816782811618354,0.1286884265410837,1784282655.170241,1784282656.618109,1784282655.894175,1.54857889,"[dac] CH_A set to +2.682 V (code=41555)
"
80,110,49,2.6816782811618354,2.810366707702918,0.1286884265410828,1784282656.6183062,1784282658.066495,1784282657.3424006,1.51238226,"[dac] CH_A set to +2.810 V (code=41976)
"
81,110,50,2.810366707702918,2.939055134244001,0.1286884265410828,1784282658.066719,1784282659.507072,1784282658.7868955,1.47484502,"[dac] CH_A set to +2.939 V (code=42398)
"
82,110,51,2.939055134244001,3.067743560785084,0.1286884265410828,1784282659.507301,1784282660.946514,1784282660.2269075,1.43998901,"[dac] CH_A set to +3.068 V (code=42820)
"
83,110,52,3.067743560785084,3.1964319873261675,0.1286884265410837,1784282660.946738,1784282662.373781,1784282661.6602595,1.37027698,"[dac] CH_A set to +3.196 V (code=43241)
"
84,110,53,3.1964319873261675,3.3251204138672503,0.1286884265410828,1784282662.374022,1784282663.8098109,1784282663.0919166,1.33005851,"[dac] CH_A set to +3.325 V (code=43663)
"
