repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_acq_first_attempt_start_unix,discard_read_retries,formal_read_retries,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
25,0,40,2,acq,2,1,0.8147635714861234,0.6842100952850247,0,1,1784288346.186934,1784288349.5242398,1784288350.265226,1784288351.149643,1784288351.56204,0,0,1784288351.149872,1784288351.3512719,1.59550045,1784288351.351276,1784288351.56203,1.5914786,1784288351.56204,1784288353.6458712,1784288352.6049075,1784288353.646416,1784288353.850251,1.61963153,1784288353.850255,1784288354.0602639,1.5579632,1.2,0.189388,0.3255095,-0.0024265,0.003556,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2847532,2921973,0,0,0,0,2
26,0,40,2,acq,2,2,0.8147635714861234,0.6842100952850247,0,1,1784288354.062006,1784288357.412864,1784288358.133591,1784288359.022048,1784288359.43778,0,0,1784288359.022559,1784288359.2301598,1.57136936,1784288359.230165,1784288359.43777,1.59013798,1784288359.43778,1784288361.5191019,1784288360.4762602,1784288361.5200279,1784288361.730125,1.59952229,1784288361.730129,1784288361.938424,1.57941306,1.2,0.1891535,0.32512850000000004,-0.0024375,0.0035735000000000003,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2777835,2864978,0,0,0,0,2
27,0,40,2,acq,2,3,0.8147635714861234,0.6842100952850247,0,1,1784288361.939075,1784288365.2824872,1784288366.016267,1784288366.8953652,1784288367.314859,0,0,1784288366.895592,1784288367.105783,1.57941306,1784288367.1057868,1784288367.314847,1.61292845,1784288367.314859,1784288369.398677,1784288368.355671,1784288369.3997362,1784288369.605984,1.58209429,1784288369.6059892,1784288369.809452,1.56064443,1.2,0.1889225,0.32484250000000003,-0.002402,0.0035795,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2911472,2937217,0,0,0,0,2
28,0,40,2,acq,2,4,0.8147635714861234,0.6842100952850247,0,1,1784288369.810189,1784288373.147084,1784288373.872958,1784288374.761506,1784288375.179248,0,0,1784288374.764118,1784288374.973991,1.6169503,1784288374.973995,1784288375.1792371,1.56466628,1784288375.179248,1784288377.2685282,1784288376.221745,1784288377.269043,1784288377.4794428,1.59415983,1784288377.4794471,1784288377.6886132,1.59013798,1.2,0.188836,0.3246715,-0.002423,0.0035675,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2789437,2815267,0,0,0,0,2
29,0,40,2,acq,2,5,0.8147635714861234,0.6842100952850247,0,1,1784288377.6892831,1784288381.033513,1784288381.77064,1784288382.647878,1784288383.065429,0,0,1784288382.648077,1784288382.858238,1.59818168,1784288382.85824,1784288383.065417,1.57941306,1784288383.065429,1784288385.148331,1784288384.109321,1784288385.148895,1784288385.358,1.62365338,1784288385.358005,1784288385.560357,1.5660069,1.2,0.1885255,0.3241635,-0.0024340000000000004,0.003588,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2820517,2849396,0,0,0,0,2
30,0,40,2,acq,2,6,0.8147635714861234,0.6842100952850247,0,1,1784288385.565896,1784288388.89798,1784288389.637367,1784288390.5141492,1784288390.930336,0,0,1784288390.514865,1784288390.7219572,1.56868813,1784288390.721962,1784288390.930324,1.57405059,1784288390.930336,1784288393.009474,1784288391.9705849,1784288393.0101829,1784288393.223156,1.60086291,1784288393.22316,1784288393.430054,1.56868813,1.2,0.18842599999999998,0.3241005,-0.002449,0.003594,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2757086,2894365,0,0,0,0,2
31,0,40,2,acq,2,7,0.8147635714861234,0.6842100952850247,0,1,1784288393.4318998,1784288396.789315,1784288397.5194528,1784288398.399782,1784288398.8204968,0,0,1784288398.401218,1784288398.612136,1.57270998,1784288398.61214,1784288398.820491,1.57405059,1784288398.8204968,1784288400.9096901,1784288399.8641868,1784288400.9103308,1784288401.122945,1.5834349,1784288401.1229491,1784288401.3292758,1.5914786,1.2,0.1882655,0.3237555,-0.002405,0.0036,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2877512,2969737,0,0,0,0,2
32,0,40,2,acq,2,8,0.8147635714861234,0.6842100952850247,0,1,1784288401.330867,1784288404.6751611,1784288405.411617,1784288406.290242,1784288406.706631,0,0,1784288406.290782,1784288406.4974499,1.57136936,1784288406.4974542,1784288406.706618,1.58879737,1784288406.706631,1784288408.791606,1784288407.7489464,1784288408.791893,1784288409.003456,1.60086291,1784288409.0034611,1784288409.2132301,1.57673182,1.2,0.1879405,0.3232115,-0.0024045000000000004,0.003598,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2775633,2865656,0,0,0,0,2
33,0,40,2,acq,2,9,0.8147635714861234,0.6842100952850247,0,1,1784288409.215234,1784288412.5625181,1784288413.303613,1784288414.180948,1784288414.597655,0,0,1784288414.1818671,1784288414.3883781,1.59013798,1784288414.388383,1784288414.597644,1.57673182,1784288414.597655,1784288416.682828,1784288415.6395464,1784288416.6835022,1784288416.885526,1.59684106,1784288416.885529,1784288417.093594,1.54991951,1.2,0.18779,0.3230105,-0.002424,0.003603,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2752344,2850581,0,0,0,0,2
34,0,40,2,acq,2,10,0.8147635714861234,0.6842100952850247,0,1,1784288417.096641,1784288420.440329,1784288421.176657,1784288422.0584981,1784288422.481185,0,0,1784288422.058732,1784288422.268935,1.57270998,1784288422.268939,1784288422.481172,1.59013798,1784288422.481185,1784288424.570827,1784288423.5283623,1784288424.5710359,1784288424.7812018,1.5834349,1784288424.7812061,1784288424.990458,1.57002875,1.2,0.1875965,0.3225925,-0.002411,0.0035805000000000003,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2839826,2886828,0,0,0,0,2
35,0,40,2,acq,2,11,0.8147635714861234,0.6842100952850247,0,1,1784288424.992085,1784288428.329725,1784288429.076403,1784288429.953544,1784288430.373633,0,0,1784288429.9550312,1784288430.1652439,1.58611614,1784288430.165247,1784288430.3736231,1.59818168,1784288430.373633,1784288432.4579809,1784288431.4156423,1784288432.458186,1784288432.6592472,1.57941306,1784288432.659251,1784288432.867126,1.52846965,1.2,0.187479,0.3225465,-0.0024275,0.003634,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2761405,2790030,0,0,0,0,2
36,0,40,3,both,3,0,0.8147635714861234,0.6842100952850247,1,1,1784288438.391527,1784288443.932519,1784288444.6719239,1784288445.558101,1784288445.975136,0,0,1784288445.559156,1784288445.7651389,1.5579632,1784288445.7651432,1784288445.975125,1.58879737,1784288445.975136,1784288448.069412,1784288447.0240812,1784288448.071691,1784288448.2817018,1.6089066,1784288448.281707,1784288448.49178,1.57405059,1.2,0.186975,0.32163600000000003,-0.0024289999999999997,0.003634,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2778851,2853376,0,0,0,0,2
37,0,40,3,both,3,1,0.8147635714861234,0.6842100952850247,1,1,1784288448.4942641,1784288454.0321019,1784288454.770168,1784288455.64106,1784288456.069946,0,0,1784288455.641823,1784288455.859731,1.58611614,1784288455.859733,1784288456.069935,1.59415983,1784288456.069946,1784288458.1430972,1784288457.1091573,1784288458.143862,1784288458.353958,1.59952229,1784288458.353962,1784288458.565778,1.58745675,1.2,0.1868465,0.32155100000000003,-0.0024324999999999998,0.003639,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2854138,2836777,0,0,0,0,2
38,0,40,3,both,3,2,0.8147635714861234,0.6842100952850247,1,1,1784288458.567368,1784288464.109928,1784288464.8470678,1784288465.726977,1784288466.137472,0,0,1784288465.727524,1784288465.935178,1.59013798,1784288465.9351811,1784288466.137376,1.59013798,1784288466.137472,1784288468.216633,1784288467.1774187,1784288468.2172139,1784288468.425641,1.60086291,1784288468.425645,1784288468.633864,1.57405059,1.2,0.186668,0.32118599999999997,-0.002437,0.0036544999999999998,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2786896,2868366,0,0,0,0,2
39,0,40,3,both,3,3,0.8147635714861234,0.6842100952850247,1,1,1784288468.6372638,1784288474.159609,1784288474.897855,1784288475.7890801,1784288476.208964,0,0,1784288475.789509,1784288475.998455,1.56466628,1784288475.9984598,1784288476.2089531,1.59952229,1784288476.208964,1784288478.284699,1784288477.245699,1784288478.285182,1784288478.49106,1.60488476,1784288478.491062,1784288478.696928,1.59952229,1.2,0.186355,0.32067100000000004,-0.0024425000000000002,0.003637,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2833982,2891824,0,0,0,0,2
40,0,40,3,both,3,4,0.8147635714861234,0.6842100952850247,1,1,1784288478.698411,1784288484.227604,1784288484.969343,1784288485.8607721,1784288486.2780612,0,0,1784288485.86297,1784288486.067905,1.5914786,1784288486.067909,1784288486.2780511,1.61158784,1784288486.2780612,1784288488.354614,1784288487.314724,1784288488.355148,1784288488.567283,1.56868813,1784288488.567287,1784288488.777309,1.62767523,1.2,0.1861315,0.320247,-0.002431,0.0036205,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2831527,2865317,0,0,0,0,2
41,0,40,3,both,3,5,0.8147635714861234,0.6842100952850247,1,1,1784288488.779093,1784288494.301701,1784288495.034234,1784288495.917879,1784288496.3379998,0,0,1784288495.918824,1784288496.1278982,1.59550045,1784288496.127902,1784288496.337989,1.61292845,1784288496.3379998,1784288498.418725,1784288497.378334,1784288498.419361,1784288498.628861,1.56064443,1784288498.628865,1784288498.8341608,1.61158784,1.2,0.18592999999999998,0.31994449999999997,-0.0024584999999999997,0.003652,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2753868,2839318,0,0,0,0,2
42,0,40,3,both,3,6,0.8147635714861234,0.6842100952850247,1,1,1784288498.834802,1784288504.376565,1784288505.1159391,1784288506.0062232,1784288506.426194,0,0,1784288506.006814,1784288506.216227,1.58745675,1784288506.2162309,1784288506.426183,1.58611614,1784288506.426194,1784288508.502235,1784288507.4708908,1784288508.503693,1784288508.709892,1.59684106,1784288508.709897,1784288508.920098,1.58745675,1.2,0.1857335,0.319678,-0.0024675,0.0036550000000000003,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2799769,2839403,0,0,0,0,2
43,0,40,3,both,3,7,0.8147635714861234,0.6842100952850247,1,1,1784288508.921987,1784288514.445618,1784288515.1822028,1784288516.068515,1784288516.484024,0,0,1784288516.069175,1784288516.279008,1.60354414,1784288516.2790132,1784288516.484014,1.61158784,1784288516.484024,1784288518.5607529,1784288517.524457,1784288518.561273,1784288518.7679842,1.58879737,1784288518.767989,1784288518.976884,1.56734751,1.2,0.1855775,0.3194715,-0.0024505,0.003674,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2807475,2852360,0,0,0,0,2
44,0,40,3,both,3,8,0.8147635714861234,0.6842100952850247,1,1,1784288518.978653,1784288524.517212,1784288525.253555,1784288526.137186,1784288526.556441,0,0,1784288526.1377122,1784288526.3457,1.59281921,1784288526.3457038,1784288526.556426,1.5914786,1784288526.556441,1784288528.64518,1784288527.601312,1784288528.6456552,1784288528.8657222,1.60220353,1784288528.865725,1784288529.073587,1.57539121,1.2,0.185221,0.31882849999999996,-0.002444,0.0036735,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2765301,2832204,0,0,0,0,2
45,0,40,3,both,3,9,0.8147635714861234,0.6842100952850247,1,1,1784288529.0765078,1784288534.623729,1784288535.368326,1784288536.24452,1784288536.6591702,0,0,1784288536.244972,1784288536.454635,1.57941306,1784288536.4546392,1784288536.659159,1.57270998,1784288536.6591702,1784288538.741822,1784288537.7031946,1784288538.7426538,1784288538.952851,1.58075367,1784288538.952856,1784288539.163241,1.59281921,1.2,0.185182,0.3187405,-0.0024254999999999997,0.003654,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2762167,2789860,0,0,0,0,2
46,0,40,3,both,3,10,0.8147635714861234,0.6842100952850247,1,1,1784288539.1668649,1784288544.7186298,1784288545.4598641,1784288546.3386,1784288546.754549,0,0,1784288546.338801,1784288546.546815,1.57941306,1784288546.5468202,1784288546.754534,1.59952229,1784288546.754549,1784288548.836972,1784288547.7965024,1784288548.8382561,1784288549.046762,1.58477552,1784288549.046767,1784288549.257993,1.57405059,1.2,0.1850415,0.31854400000000005,-0.0024705,0.0036639999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2756239,2832797,0,0,0,0,2
47,0,40,3,both,3,11,0.8147635714861234,0.6842100952850247,1,1,1784288549.2587452,1784288554.7519948,1784288555.4703748,1784288556.332203,1784288556.73826,0,0,1784288556.332434,1784288556.533121,1.58209429,1784288556.5331242,1784288556.738253,1.60622537,1784288556.73826,1784288558.7869592,1784288557.7638774,1784288558.787724,1784288558.99248,1.58477552,1784288558.992482,1784288559.1950772,1.56466628,1.2,0.184702,0.318031,-0.0024525,0.003686,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2729732,2781476,0,0,0,0,2
48,1,0,4,gen,0,0,-4.407375476557824,-4.537928952758923,1,0,1784288625.28445,1784288627.445838,1784288628.159164,1784288629.020593,1784288629.4317389,0,0,1784288629.0215528,1784288629.226733,0.116801157,1784288629.226738,1784288629.431733,0.143613474,1784288629.4317389,1784288631.4760268,1784288630.4523244,1784288631.476246,1784288631.682268,0.134229163,1784288631.6823082,1784288631.887499,0.102054382,0.115241,-0.1848835,-0.314584,0.004791999999999999,-0.007634500000000001,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2756917,2599991,0,0,0,0,2
49,1,0,4,gen,0,1,-4.407375476557824,-4.537928952758923,1,0,1784288631.888148,1784288634.055974,1784288634.781918,1784288635.6573591,1784288636.069068,0,0,1784288635.657578,1784288635.8658,0.114119925,1784288635.865802,1784288636.069063,0.132888547,1784288636.069068,1784288638.1222012,1784288637.0982795,1784288638.1224399,1784288638.32763,0.143613474,1784288638.3276339,1784288638.531147,0.128866699,0.120945,-0.18882949999999998,-0.321728,0.004767,-0.0076155,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2818654,2671891,0,0,0,0,2
50,1,0,4,gen,0,2,-4.407375476557824,-4.537928952758923,1,0,1784288638.531924,1784288640.6828952,1784288641.40643,1784288642.274045,1784288642.6916869,0,0,1784288642.274772,1784288642.4821289,0.144954089,1784288642.482133,1784288642.691681,0.146294705,1784288642.6916869,1784288644.733964,1784288643.717709,1784288644.734493,1784288644.9411032,0.132888547,1784288644.941111,1784288645.148772,0.139591626,0.12515300000000001,-0.1917565,-0.326878,0.0047694999999999994,-0.007625,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2866587,2711948,0,0,0,0,2
51,1,0,4,gen,0,3,-4.407375476557824,-4.537928952758923,1,0,1784288645.1507251,1784288647.318911,1784288648.040266,1784288648.909962,1784288649.318934,0,0,1784288648.910175,1784288649.1157372,0.151657169,1784288649.115742,1784288649.3189278,0.111438693,1784288649.318934,1784288651.369371,1784288650.347391,1784288651.369879,1784288651.573795,0.150316553,1784288651.573799,1784288651.779001,0.152997785,0.1287565,-0.19412600000000002,-0.3310075,0.0047755,-0.007624,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2889961,2761659,0,0,0,0,2
52,1,0,4,gen,0,4,-4.407375476557824,-4.537928952758923,1,0,1784288651.779895,1784288653.933113,1784288654.6518111,1784288655.525505,1784288655.933843,0,0,1784288655.5257201,1784288655.730856,0.135569778,1784288655.730858,1784288655.9338381,0.123504236,1784288655.933843,1784288657.98324,1784288656.9559884,1784288657.983437,1784288658.1909719,0.128866699,1784288658.190976,1784288658.3943832,0.118141772,0.13216050000000001,-0.19648500000000002,-0.334955,0.0047825,-0.0076315,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2909862,2775548,0,0,0,0,2
53,1,0,4,gen,0,5,-4.407375476557824,-4.537928952758923,1,0,1784288658.396642,1784288660.5506449,1784288661.277475,1784288662.154638,1784288662.566387,0,0,1784288662.154887,1784288662.3601122,0.1543384,1784288662.360116,1784288662.566376,0.139591626,1784288662.566387,1784288664.618196,1784288663.5923905,1784288664.618738,1784288664.823751,0.131547931,1784288664.8237529,1784288665.02883,0.150316553,0.1353065,-0.19860699999999998,-0.33863,0.004798500000000001,-0.007621,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2990062,2802733,0,0,0,0,2
54,1,0,4,gen,0,6,-4.407375476557824,-4.537928952758923,1,0,1784288665.032757,1784288667.187256,1784288667.910691,1784288668.78227,1784288669.191799,0,0,1784288668.782515,1784288668.987699,0.142272858,1784288668.987704,1784288669.1917892,0.162382096,1784288669.191799,1784288671.245692,1784288670.2192159,1784288671.245953,1784288671.451212,0.0940106869,1784288671.451216,1784288671.657078,0.123504236,0.138304,-0.2005355,-0.3420575,0.0047845000000000006,-0.007641,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2990231,2829579,0,0,0,0,2
55,1,0,4,gen,0,7,-4.407375476557824,-4.537928952758923,1,0,1784288671.657841,1784288673.966109,1784288674.682562,1784288675.5513558,1784288675.9618912,0,0,1784288675.5515609,1784288675.756696,0.163722711,1784288675.7566988,1784288675.961879,0.174447638,1784288675.9618912,1784288678.021298,1784288676.9928205,1784288678.021504,1784288678.226683,0.157019632,1784288678.226688,1784288678.431625,0.171766407,0.1412005,-0.202425,-0.345308,0.004797,-0.007615,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3014452,2859219,0,0,0,0,2
56,1,0,4,gen,0,8,-4.407375476557824,-4.537928952758923,1,0,1784288678.432323,1784288680.5749838,1784288681.2927911,1784288682.1642828,1784288682.571081,0,0,1784288682.164504,1784288682.369698,0.165063327,1784288682.3697019,1784288682.57107,0.170425791,1784288682.571081,1784288684.6128619,1784288683.5914419,1784288684.616575,1784288684.8212328,0.135569778,1784288684.821235,1784288685.026477,0.152997785,0.1438215,-0.2040385,-0.3480585,0.0048055,-0.0076005,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3013520,2890893,0,0,0,0,2
57,1,0,4,gen,0,9,-4.407375476557824,-4.537928952758923,1,0,1784288685.028311,1784288687.187595,1784288687.9061,1784288688.774653,1784288689.1836832,0,0,1784288688.774913,1784288688.9789078,0.167744559,1784288688.978912,1784288689.183678,0.148975937,1784288689.1836832,1784288691.227027,1784288690.2072778,1784288691.227563,1784288691.432951,0.174447638,1784288691.4329531,1784288691.63472,0.147635321,0.1463335,-0.205583,-0.3507625,0.0047810000000000005,-0.0076045,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3051883,2912911,0,0,0,0,2
58,1,0,4,gen,0,10,-4.407375476557824,-4.537928952758923,1,0,1784288691.635411,1784288693.7956321,1784288694.519017,1784288695.38398,1784288695.796319,0,0,1784288695.384195,1784288695.5914629,0.178469486,1784288695.591467,1784288695.796312,0.136910394,1784288695.796319,1784288697.841892,1784288696.8204556,1784288697.842104,1784288698.0494878,0.1543384,1784288698.049492,1784288698.257937,0.166403943,0.148861,-0.20727,-0.353571,0.0047865,-0.007593,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3058320,2941451,0,0,0,0,2
59,1,0,4,gen,0,11,-4.407375476557824,-4.537928952758923,1,0,1784288698.259146,1784288700.419067,1784288701.142106,1784288702.018774,1784288702.428957,0,0,1784288702.019309,1784288702.2239842,0.139591626,1784288702.223986,1784288702.428946,0.169085175,1784288702.428957,1784288704.457508,1784288703.443439,1784288704.457699,1784288704.6628711,0.163722711,1784288704.662875,1784288704.866524,0.171766407,0.151305,-0.2087185,-0.3561755,0.0047965,-0.007575,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3072208,2960929,0,0,0,0,2
60,1,0,5,acq,1,0,-4.407375476557824,-4.537928952758923,0,1,1784288710.311359,1784288713.5944178,1784288714.312211,1784288715.1859682,1784288715.592855,0,0,1784288715.186186,1784288715.39204,0.128866699,1784288715.392042,1784288715.59285,0.186513181,1784288715.592855,1784288717.643287,1784288716.617805,1784288717.643507,1784288717.8502169,0.191875644,1784288717.850219,1784288718.052438,0.165063327,0.1557595,-0.2114345,-0.3607605,0.0047810000000000005,-0.007597,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3112774,3001833,0,0,0,0,2
61,1,0,5,acq,1,1,-4.407375476557824,-4.537928952758923,0,1,1784288718.054083,1784288721.327557,1784288722.055726,1784288722.927145,1784288723.3381839,0,0,1784288722.92738,1784288723.134874,0.194556876,1784288723.1348789,1784288723.338173,0.171766407,1784288723.3381839,1784288725.385477,1784288724.36336,1784288725.385719,1784288725.593868,0.169085175,1784288725.5938718,1784288725.802304,0.174447638,0.158333,-0.212985,-0.363475,0.004802,-0.0075845,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3160622,3007253,0,0,0,0,2
62,1,0,5,acq,1,2,-4.407375476557824,-4.537928952758923,0,1,1784288725.803048,1784288729.082209,1784288729.803827,1784288730.676793,1784288731.087407,0,0,1784288730.677075,1784288730.8822389,0.19321626,1784288730.882242,1784288731.087401,0.158360248,1784288731.087407,1784288733.137014,1784288732.110252,1784288733.137227,1784288733.3392901,0.162382096,1784288733.3392909,1784288733.546179,0.181150718,0.160803,-0.214517,-0.3660495,0.0047905,-0.007584,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3191194,3019279,0,0,0,0,2
63,1,0,5,acq,1,3,-4.407375476557824,-4.537928952758923,0,1,1784288733.5469818,1784288736.8157701,1784288737.531532,1784288738.412479,1784288738.824028,0,0,1784288738.4127018,1784288738.618877,0.163722711,1784288738.61888,1784288738.824021,0.182491333,1784288738.824028,1784288740.867275,1784288739.8479192,1784288740.86766,1784288741.071916,0.178469486,1784288741.071918,1784288741.278197,0.17712887,0.1631,-0.21572049999999998,-0.3681925,0.0048035000000000005,-0.0075575,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3223291,3043838,0,0,0,0,2
64,1,0,5,acq,1,4,-4.407375476557824,-4.537928952758923,0,1,1784288741.279773,1784288744.544527,1784288745.270839,1784288746.136116,1784288746.5443032,0,0,1784288746.1363719,1784288746.3416,0.197238108,1784288746.341604,1784288746.544297,0.187853797,1784288746.5443032,1784288748.6017668,1784288747.571974,1784288748.602025,1784288748.807112,0.201259955,1784288748.807114,1784288749.012237,0.167744559,0.1654445,-0.217094,-0.3705965,0.00482,-0.0075595,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3226678,3079492,0,0,0,0,2
65,1,0,5,acq,1,5,-4.407375476557824,-4.537928952758923,0,1,1784288749.012884,1784288752.302804,1784288753.027439,1784288753.9005709,1784288754.31416,0,0,1784288753.900851,1784288754.1061382,0.203941187,1784288754.106142,1784288754.314154,0.197238108,1784288754.31416,1784288756.347234,1784288755.330699,1784288756.347476,1784288756.5533051,0.185172565,1784288756.553308,1784288756.758532,0.165063327,0.1676705,-0.2183565,-0.3727325,0.00482,-0.007551499999999999,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3225662,3085335,0,0,0,0,2
66,1,0,5,acq,1,6,-4.407375476557824,-4.537928952758923,0,1,1784288756.7592268,1784288760.029394,1784288760.746277,1784288761.611731,1784288762.021237,0,0,1784288761.611948,1784288761.816093,0.175788254,1784288761.8160949,1784288762.0212321,0.19321626,1784288762.021237,1784288764.0804312,1784288763.0492172,1784288764.080647,1784288764.287644,0.175788254,1784288764.287647,1784288764.495656,0.189194413,0.169846,-0.21955200000000002,-0.37484249999999997,0.004795000000000001,-0.007594999999999999,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3252000,3120988,0,0,0,0,2
67,1,0,5,acq,1,7,-4.407375476557824,-4.537928952758923,0,1,1784288764.496335,1784288767.779327,1784288768.497643,1784288769.362741,1784288769.780519,0,0,1784288769.362957,1784288769.570744,0.197238108,1784288769.5707479,1784288769.780491,0.191875644,1784288769.780519,1784288771.827513,1784288770.8052073,1784288771.827743,1784288772.030519,0.191875644,1784288772.0305228,1784288772.237494,0.197238108,0.1721725,-0.220989,-0.3772415,0.0048245,-0.007568500000000001,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3245479,3140467,0,0,0,0,2
68,1,0,5,acq,1,8,-4.407375476557824,-4.537928952758923,0,1,1784288772.238081,1784288775.5126998,1784288776.236963,1784288777.096094,1784288777.508012,0,0,1784288777.096687,1784288777.301905,0.186513181,1784288777.301907,1784288777.507999,0.195897492,1784288777.508012,1784288779.56411,1784288778.5358787,1784288779.564336,1784288779.766856,0.198578724,1784288779.76686,1784288779.9707341,0.203941187,0.174254,-0.222139,-0.37925149999999996,0.004799,-0.0075650000000000005,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3281556,3148681,0,0,0,0,2
69,1,0,5,acq,1,9,-4.407375476557824,-4.537928952758923,0,1,1784288779.9723608,1784288783.244033,1784288783.965962,1784288784.830842,1784288785.2453802,0,0,1784288784.831072,1784288785.038145,0.190535029,1784288785.038149,1784288785.245373,0.167744559,1784288785.2453802,1784288787.287562,1784288786.2695124,1784288787.288158,1784288787.494166,0.187853797,1784288787.494168,1784288787.699341,0.179810102,0.1761895,-0.223129,-0.38093750000000004,0.0048045,-0.007573,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3292481,3162401,0,0,0,0,2
70,1,0,5,acq,1,10,-4.407375476557824,-4.537928952758923,0,1,1784288787.704672,1784288790.982765,1784288791.7078831,1784288792.575917,1784288792.995281,0,0,1784288792.5802722,1784288792.787603,0.213325498,1784288792.787607,1784288792.9952571,0.190535029,1784288792.995281,1784288795.038197,1784288794.0182118,1784288795.0384169,1784288795.245353,0.202600571,1784288795.245355,1784288795.450508,0.197238108,0.178348,-0.224422,-0.383182,0.0048295000000000005,-0.0075565,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3316955,3180185,0,0,0,0,2
71,1,0,5,acq,1,11,-4.407375476557824,-4.537928952758923,0,1,1784288795.451242,1784288798.7236228,1784288799.449406,1784288800.316221,1784288800.7302852,0,0,1784288800.3167481,1784288800.521645,0.166403943,1784288800.521649,1784288800.73028,0.186513181,1784288800.7302852,1784288802.7758322,1784288801.7536983,1784288802.776026,1784288802.9812322,0.197238108,1784288802.981236,1784288803.186343,0.189194413,0.1801955,-0.2253095,-0.3846625,0.004811,-0.007536,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3325085,3200171,0,0,0,0,2
72,1,0,6,both,2,0,-4.407375476557824,-4.537928952758923,1,1,1784288808.612349,1784288814.031254,1784288814.749567,1784288815.6153421,1784288816.023784,0,0,1784288815.61583,1784288815.8185549,0.191875644,1784288815.818558,1784288816.023773,0.169085175,1784288816.023784,1784288818.0703712,1784288817.047456,1784288818.073117,1784288818.278794,0.203941187,1784288818.2787971,1784288818.483975,0.189194413,0.18397,-0.227362,-0.38820299999999996,0.004821000000000001,-0.007541,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-3392158,3218125,0,0,0,0,2
