repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_acq_first_attempt_start_unix,discard_read_retries,formal_read_retries,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
138,2,60,11,gen,3,6,3.4258330955080973,3.2952796193069984,1,0,1784289406.2087412,1784289408.397533,1784289409.139621,1784289410.024396,1784289410.444435,0,0,1784289410.0246248,1784289410.234804,1.29118065,1784289410.234806,1784289410.44443,1.29118065,1784289410.444435,1784289412.510339,1784289411.4811063,1784289412.510572,1784289412.711738,1.27509326,1784289412.71174,1784289412.9218812,1.29118065,1.2,-0.312941,-0.5350225,3.2500000000000004e-05,0.0021655,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4493519,4538827,0,0,0,0,2
139,2,60,11,gen,3,7,3.4258330955080973,3.2952796193069984,1,0,1784289412.922506,1784289415.118861,1784289415.847328,1784289416.719211,1784289417.134468,0,0,1784289416.719424,1784289416.9282,1.27241202,1784289416.928202,1784289417.1344619,1.2871588,1784289417.134468,1784289419.2023392,1784289418.1679442,1784289419.202946,1784289419.407691,1.29252126,1784289419.4076958,1784289419.616137,1.29922434,1.2,-0.31352800000000003,-0.5360940000000001,0.000115,0.0021545,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4484711,4615384,0,0,0,0,2
140,2,60,11,gen,3,8,3.4258330955080973,3.2952796193069984,1,0,1784289419.61698,1784289421.801462,1784289422.539427,1784289423.428823,1784289423.851514,0,0,1784289423.429046,1784289423.641314,1.28313695,1784289423.6413162,1784289423.8515031,1.28849942,1784289423.851514,1784289425.9252539,1784289424.8890848,1784289425.925558,1784289426.1357388,1.30592742,1784289426.135744,1784289426.341418,1.29788373,1.2,-0.3136795,-0.5363135,4.35e-05,0.002103,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4500124,4593111,0,0,0,0,2
141,2,60,11,gen,3,9,3.4258330955080973,3.2952796193069984,1,0,1784289426.3450592,1784289428.519458,1784289429.246659,1784289430.127878,1784289430.552018,0,0,1784289430.128086,1784289430.338272,1.29118065,1784289430.3382761,1784289430.552012,1.26839018,1784289430.552018,1784289432.610091,1784289431.5761094,1784289432.6103392,1784289432.8206139,1.2616871,1784289432.820619,1784289433.0301719,1.25498402,1.2,-0.3143245,-0.537391,5.9000000000000004e-05,0.002099,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4512827,4572617,0,0,0,0,2
142,2,60,11,gen,3,10,3.4258330955080973,3.2952796193069984,1,0,1784289433.0363,1784289435.219073,1784289435.938476,1784289436.819065,1784289437.234647,0,0,1784289436.819623,1784289437.0242088,1.26570895,1784289437.024213,1784289437.234636,1.28447757,1784289437.234647,1784289439.307699,1784289438.2710028,1784289439.307963,1784289439.519072,1.27643387,1784289439.5190752,1784289439.726449,1.27509326,1.2,-0.31440999999999997,-0.5375705,6.4e-05,0.0020464999999999997,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4529596,4698124,0,0,0,0,2
143,2,60,11,gen,3,11,3.4258330955080973,3.2952796193069984,1,0,1784289439.727243,1784289441.913993,1784289442.642993,1784289443.526526,1784289443.943883,0,0,1784289443.526745,1784289443.736953,1.28849942,1784289443.736958,1784289443.9438772,1.28179634,1784289443.943883,1784289446.0100439,1784289444.9775236,1784289446.0103402,1784289446.219126,1.26302771,1784289446.2191281,1784289446.430159,1.29922434,1.2,-0.315016,-0.5385115,6.85e-05,0.0020855,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4528156,4573548,0,0,0,0,2
144,3,20,12,both,0,0,-1.7963059525358505,-1.9268594287369492,1,1,1784289513.457376,1784289518.9416199,1784289519.681396,1784289520.568352,1784289520.988238,0,0,1784289520.5685818,1784289520.778906,0.468042511,1784289520.77891,1784289520.9882329,0.4586582,1784289520.988238,1784289523.058996,1784289522.0245214,1784289523.059907,1784289523.2724,0.451955121,1784289523.2724018,1784289523.47366,0.443911426,0.435156,0.3210535,0.546435,0.001469,-0.0035795,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4553647,4487252,0,0,0,0,2
145,3,20,12,both,0,1,-1.7963059525358505,-1.9268594287369492,1,1,1784289523.475521,1784289528.9763699,1784289529.710527,1784289530.6000829,1784289531.017602,0,0,1784289530.600291,1784289530.808535,0.446592657,1784289530.808539,1784289531.017596,0.446592657,1784289531.017602,1784289533.0885482,1784289532.0507765,1784289533.088843,1784289533.298976,0.443911426,1784289533.298978,1784289533.504771,0.461339432,0.426805,0.3188215,0.5428775,0.0014915,-0.003679,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4550005,4478106,0,0,0,0,2
146,3,20,12,both,0,2,-1.7963059525358505,-1.9268594287369492,1,1,1784289533.505484,1784289539.006232,1784289539.7342021,1784289540.624361,1784289541.039005,0,0,1784289540.624573,1784289540.833545,0.427824035,1784289540.833547,1784289541.0389938,0.437208346,1784289541.039005,1784289543.109514,1784289542.0734253,1784289543.109814,1784289543.3122392,0.449273889,1784289543.3122408,1784289543.52236,0.427824035,0.419903,0.317087,0.540006,0.001565,-0.0036815,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4523329,4425853,0,0,0,0,2
147,3,20,12,both,0,3,-1.7963059525358505,-1.9268594287369492,1,1,1784289543.523114,1784289549.04349,1784289549.7747269,1784289550.648406,1784289551.063228,0,0,1784289550.648606,1784289550.858769,0.417099108,1784289550.8587708,1784289551.0632231,0.395649255,1784289551.063228,1784289553.131944,1784289552.0992289,1784289553.1326458,1784289553.3357089,0.401011718,1784289553.335712,1784289553.545865,0.44257081,0.414513,0.3159105,0.5381039999999999,0.0015725000000000001,-0.0037935,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4495636,4409339,0,0,0,0,2
148,3,20,12,both,0,4,-1.7963059525358505,-1.9268594287369492,1,1,1784289553.54651,1784289559.030445,1784289559.746759,1784289560.632249,1784289561.0395021,0,0,1784289560.632513,1784289560.833219,0.421120956,1784289560.8332212,1784289561.0394912,0.433186499,1784289561.0395021,1784289563.107629,1784289562.0768719,1784289563.108246,1784289563.3156202,0.41978034,1784289563.315624,1784289563.525388,0.427824035,0.4092635,0.3145325,0.535867,0.001651,-0.003786,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4476242,4396467,0,0,0,0,2
149,3,20,12,both,0,5,-1.7963059525358505,-1.9268594287369492,1,1,1784289563.526062,1784289569.018356,1784289569.754944,1784289570.630431,1784289571.0535932,0,0,1784289570.6315289,1784289570.841721,0.431845883,1784289570.8417249,1784289571.0535822,0.422461572,1784289571.0535932,1784289573.099922,1784289572.076724,1784289573.1004329,1784289573.303898,0.407714797,1784289573.3039,1784289573.511402,0.426483419,0.4042635,0.31298899999999996,0.533354,0.0016710000000000002,-0.0038415,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4468028,4368266,0,0,0,0,2
150,3,20,12,both,0,6,-1.7963059525358505,-1.9268594287369492,1,1,1784289573.5120692,1784289579.0165582,1784289579.7562351,1784289580.633228,1784289581.055111,0,0,1784289580.633439,1784289580.8435788,0.396989871,1784289580.843581,1784289581.0551,0.414417877,1784289581.055111,1784289583.136938,1784289582.0963497,1784289583.137177,1784289583.341622,0.413077261,1784289583.3416262,1784289583.5494761,0.409055413,0.40021450000000003,0.312032,0.531755,0.001641,-0.0038605,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4447364,4360051,0,0,0,0,2
151,3,20,12,both,0,7,-1.7963059525358505,-1.9268594287369492,1,1,1784289583.5501819,1784289589.063904,1784289589.803078,1784289590.684161,1784289591.096321,0,0,1784289590.685004,1784289590.886189,0.396989871,1784289590.8861911,1784289591.096315,0.386264944,1784289591.096321,1784289593.162982,1784289592.1272917,1784289593.16325,1784289593.3726301,0.413077261,1784289593.372632,1784289593.582779,0.402352334,0.39624000000000004,0.310879,0.529887,0.0016865,-0.003872,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4448465,4365641,0,0,0,0,2
152,3,20,12,both,0,8,-1.7963059525358505,-1.9268594287369492,1,1,1784289593.583504,1784289599.085082,1784289599.82591,1784289600.6986082,1784289601.1113331,0,0,1784289600.6990972,1784289600.909089,0.407714797,1784289600.909091,1784289601.111327,0.421120956,1784289601.1113331,1784289603.1857018,1784289602.145463,1784289603.189882,1784289603.400059,0.395649255,1784289603.400063,1784289603.6091352,0.406374182,0.39284399999999997,0.310035,0.5284070000000001,0.0016944999999999998,-0.0039055,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4421873,4342013,0,0,0,0,2
153,3,20,12,both,0,9,-1.7963059525358505,-1.9268594287369492,1,1,1784289603.6105862,1784289609.127985,1784289609.857761,1784289610.74975,1784289611.1639402,0,0,1784289610.7499552,1784289610.953748,0.391627407,1784289610.9537501,1784289611.163929,0.437208346,1784289611.1639402,1784289613.231754,1784289612.1980839,1784289613.231966,1784289613.4422011,0.375540017,1784289613.4422112,1784289613.6526878,0.402352334,0.38952,0.3090395,0.5268805,0.001705,-0.0039565,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4409001,4319655,0,0,0,0,2
154,3,20,12,both,0,10,-1.7963059525358505,-1.9268594287369492,1,1,1784289613.653318,1784289619.1443589,1784289619.8786108,1784289620.7583559,1784289621.184022,0,0,1784289620.758846,1784289620.969124,0.40369295,1784289620.969127,1784289621.184017,0.399671102,1784289621.184022,1784289623.260331,1784289622.2184448,1784289623.260555,1784289623.4627168,0.415758493,1784289623.46272,1784289623.671155,0.406374182,0.3861445,0.30792200000000003,0.5249945,0.0017005,-0.0039585,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4390031,4292555,0,0,0,0,2
155,3,20,12,both,0,11,-1.7963059525358505,-1.9268594287369492,1,1,1784289623.677068,1784289629.182078,1784289629.914083,1784289630.793335,1784289631.208143,0,0,1784289630.793888,1784289630.9991832,0.38090248,1784289630.999187,1784289631.208127,0.375540017,1784289631.208143,1784289633.267354,1784289632.2410107,1784289633.267581,1784289633.47633,0.386264944,1784289633.476334,1784289633.683437,0.401011718,0.3836175,0.307304,0.5241024999999999,0.001758,-0.0039404999999999996,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4382663,4299246,0,0,0,0,2
156,3,20,13,none,1,0,-1.7963059525358505,-1.9268594287369492,0,0,1784289639.1975129,1784289639.1975129,1784289639.9204962,1784289640.7998312,1784289641.211655,0,0,1784289640.800469,1784289641.0102952,0.396989871,1784289641.010297,1784289641.2116501,0.395649255,1784289641.211655,1784289643.271428,1784289642.240522,1784289643.274403,1784289643.484643,0.398330486,1784289643.4846468,1784289643.688928,0.402352334,0.3809205,0.306619,0.522816,0.0017675,-0.004017,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-4374025,4298145,0,0,0,0,2
