role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows,dmm_pre_read_count,dmm_post_read_count,discard_read_attempt_count,formal_read_retry_count,t_acq_first_attempt_start_unix
formal,down,58,20,1,41,3.1647261431059004,3.2952796193069993,0.5,1784363570.097579,1784363571.542538,41,True,1784363575.672554,1784363577.346339,1784363577.347557,1784363578.986347,1784363578.1679685,1.40932241875,1784363578.986537,1784363597.678321,1784363588.330195,1784363597.678571,1784363599.333717,1784363598.5032835,1.4063060325,0.49973292491286425,1.4078150312266207,1.2,-0.19142575,-0.32810775000000003,-0.0030724999999999997,0.00630325,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-2811456,2961268,0,0,0,0,8,8,8,1,0,1784363578.986537
formal,down,22,21,0,42,-1.535199000133653,-1.4046455239325542,0.5,1784363650.3356118,1784363651.7616751,42,True,1784363655.882797,1784363657.5548859,1784363657.555459,1784363659.214174,1784363658.383792,0.408217528375,1784363659.2143931,1784363677.888337,1784363668.5547566,1784363677.888577,1784363679.550556,1784363678.7222223,0.391627407375,0.5000860201843819,0.3999210407897327,0.38711412500000003,0.25541875,0.435554875,0.0024315,-0.005284125,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3726927,3655705,0,0,0,0,8,8,8,1,0,1784363659.2143931
formal,up,22,21,1,43,-1.535199000133653,-1.665752476334752,0.5,1784363681.721932,1784363683.147548,43,True,1784363687.289424,1784363688.970297,1784363688.9714491,1784363690.6301281,1784363689.7983906,0.39011921425,1784363690.630334,1784363709.337448,1784363699.9933774,1784363709.338154,1784363710.989675,1784363710.1640966,0.369507245375,0.5005957975022278,0.3798009492529283,0.368133625,0.250954375,0.428339375,0.002475125,-0.005334875,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3640885,3571611,0,0,0,0,8,8,8,1,0,1784363690.630334
formal,up,39,22,0,44,0.6842100952850245,0.5536566190839256,0.5,1784363733.2449422,1784363734.6816242,44,True,1784363738.8468149,1784363740.509606,1784363740.510779,1784363742.1703901,1784363741.3450248,1.3355885462500001,1784363742.17065,1784363760.845824,1784363751.506022,1784363760.846059,1784363762.509086,1784363761.6818814,1.35485989875,0.4996345969474258,1.3452171806889692,1.2,0.219029625,0.37530025,-0.000697375,0.00071,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3257166,3298663,0,0,0,0,8,8,8,1,0,1784363742.17065
formal,down,39,22,1,45,0.6842100952850245,0.8147635714861234,0.5,1784363764.670841,1784363766.104683,45,True,1784363770.236256,1784363771.922243,1784363771.9233978,1784363773.568803,1784363772.7484977,1.34631347375,1784363773.568993,1784363792.2509708,1784363782.9128232,1784363792.25123,1784363793.9011688,1784363793.0792463,1.3536868625,0.49994841295063613,1.3499997877536305,1.2,0.21706225,0.372428125,-0.0007021250000000001,0.000743875,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3213891,3244802,0,0,0,0,8,8,8,1,0,1784363773.568993
formal,down,41,23,0,46,0.9453170476872224,1.0758705238883213,0.5,1784363798.9233558,1784363800.352422,46,True,1784363804.4887009,1784363806.165306,1784363806.165641,1784363807.814255,1784363806.984141,1.43445896625,1784363807.814455,1784363826.514753,1784363817.1759088,1784363826.51507,1784363828.173478,1784363827.3459911,1.44434600875,0.5005324997934225,1.4394077523480888,1.2,0.179785625,0.308345625,-0.002096625,0.002901,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-2698482,2759034,0,0,0,0,8,8,8,1,0,1784363807.814455
formal,up,41,23,1,47,0.9453170476872224,0.8147635714861234,0.5,1784363830.330555,1784363831.7719,47,True,1784363835.882895,1784363837.546889,1784363837.548026,1784363839.199085,1784363838.3774,1.4381456587499999,1784363839.199272,1784363857.858659,1784363848.531388,1784363857.858895,1784363859.5086348,1784363858.688966,1.4371401987499999,0.49991162994213967,1.4376430176025583,1.2,0.17854874999999998,0.306593375,-0.002109125,0.00292225,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-2673669,2725244,0,0,0,0,8,8,8,1,0,1784363839.199272
formal,up,79,24,0,48,5.906349143328972,5.775795667127873,0.5,1784363911.96457,1784363913.397542,48,True,1784363917.5229802,1784363919.212359,1784363919.212908,1784363920.872556,1784363920.0390449,0.25304124299999997,1784363920.87275,1784363939.582916,1784363930.223231,1784363939.584036,1784363941.2315469,1784363940.407786,0.234775352,0.49999095194144183,0.24390846277085138,0.231934125,-0.210819,-0.358568875,0.00394975,-0.005732999999999999,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-3105491,3061792,0,0,0,0,8,8,8,1,0,1784363920.87275
formal,down,79,24,1,49,5.906349143328972,6.036902619530071,0.5,1784363943.395087,1784363944.845977,49,True,1784363949.004676,1784363950.689066,1784363950.69016,1784363952.3319302,1784363951.5131412,0.23511050575,1784363952.332129,1784363971.04261,1784363961.6861143,1784363971.042871,1784363972.703943,1784363971.8735337,0.21500126812499998,0.49964523624741264,0.2250630209661015,0.208898,-0.20186737500000002,-0.34366125000000003,0.0039092499999999995,-0.005754,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-5446507,2898599,0,0,0,0,8,8,8,1,0,1784363952.332129
formal,down,1,25,0,50,-4.276822000356725,-4.1462685241556265,0.5,1784364082.547664,1784364083.970434,50,True,1784364088.1236649,1784364089.8037398,1784364089.8048372,1784364091.455073,1784364090.6326647,0.127190929375,1784364091.4552739,1784364110.135781,1784364100.79987,1784364110.136016,1784364111.7694001,1784364110.954096,0.14880836012499998,0.5003193492813881,0.13800654826097547,0.13061574999999997,-0.16576387499999998,-0.283269625,0.003399,-0.0054695,1,acq,163840,163840,0,128,True,False,1,1200000,8381618,False,-2505818,2395132,0,0,0,0,8,8,8,1,0,1784364091.4552739
