kind,epoch,direction,index,bias,timestamp_unix,dc_dmm,dc_board,I1,Q1,I2,Q2
formal,0,down,11,4.600814381317985,1784191503.2967901,0.514964066,0.462324,-0.518106,-0.869841,-0.022654,0.043413
formal,0,down,12,4.470260905116888,1784191505.119018,0.547138846,0.51461,-0.527717,-0.885959,-0.02739,0.051925
formal,0,down,13,4.339707428915789,1784191506.955939,0.595401017,0.567899,-0.534628,-0.897629,-0.030361,0.057765
formal,0,down,14,4.20915395271469,1784191508.774488,0.66243181,0.622281,-0.538963,-0.90569,-0.033743,0.063621
formal,0,down,15,4.078600476513591,1784191510.6004748,0.673156737,0.67734,-0.542683,-0.911701,-0.032843,0.062077
formal,0,down,16,3.948047000312492,1784191512.4092228,0.807218323,0.733642,-0.543559,-0.913171,-0.032425,0.061925
formal,0,down,17,3.817493524111393,1784191514.215772,0.815262018,0.789393,-0.54339,-0.913242,-0.031984,0.060587
formal,0,down,18,3.6869400479102943,1784191516.040816,0.852799262,0.844942,-0.540822,-0.909168,-0.030945,0.058619
formal,0,down,19,3.5563865717091963,1784191517.880894,0.925192518,0.899509,-0.536661,-0.902569,-0.029692,0.056221
formal,0,down,20,3.4258330955080973,1784191519.696539,0.958707914,0.953696,-0.52925,-0.890845,-0.02645,0.04993
formal,0,down,21,3.2952796193069984,1784191521.521666,1.07131965,1.006517,-0.518917,-0.874183,-0.022658,0.042975
formal,0,down,22,3.1647261431059004,1784191523.340759,1.1182412,1.057481,-0.505412,-0.850953,-0.018539,0.035957
formal,0,down,23,3.0341726669048015,1784191525.1576169,1.12360366,1.107314,-0.487374,-0.821045,-0.015878,0.031331
formal,0,down,24,2.9036191907037026,1784191526.979221,1.18527199,1.154424,-0.466697,-0.786946,-0.014548,0.028327
formal,0,down,25,2.7730657145026036,1784191528.789509,1.24291848,1.195395,-0.443087,-0.747225,-0.01252,0.024568
formal,0,down,26,2.6425122383015047,1784191530.616155,1.25230279,1.2,-0.416949,-0.703448,-0.010671,0.021087
formal,0,down,27,2.5119587621004067,1784191532.435797,1.29252126,1.2,-0.385145,-0.650462,-0.00879,0.017766
