role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,0.5,1784258789.272566,1784258790.699223,15,True,1784258794.789682,1784258795.649858,1784258795.65009,1784258795.8505669,1784258795.7503285,1.51506349,1784258795.85057,1784258799.914624,1784258797.8858013,1784258799.914836,1784258800.119967,1784258800.0174015,1.48288871,0.5004537809707678,1.4989614996970975,1.2,-0.08847275,-0.15096874999999998,-0.0042699999999999995,0.00845575,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1338062,1502526,0,0,0,0,4
formal,up,48,8,0,16,1.859191381094913,1.728637904893814,0.5,1784258805.102646,1784258806.522541,16,True,1784258810.597614,1784258811.463373,1784258811.463579,1784258811.668711,1784258811.566145,1.39842992,1784258811.6687129,1784258815.730707,1784258813.7012358,1784258815.730921,1784258815.932392,1784258815.8316565,1.42926408,0.5005474306086708,1.4138638795629768,1.2,-0.23585224999999999,-0.40064075000000005,-0.0028694999999999997,0.00688425,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3363957,3586346,0,0,0,0,4
formal,down,48,8,1,17,1.859191381094913,1.989744857296012,0.5,1784258818.078182,1784258819.501345,17,True,1784258823.57621,1784258824.444525,1784258824.444892,1784258824.650052,1784258824.547472,1.40781423,1784258824.650054,1784258828.71929,1784258826.6867933,1784258828.7195048,1784258828.921985,1784258828.820745,1.41451731,0.5006282846017102,1.411169981441948,1.2,-0.2381185,-0.404945,-0.0028725,0.006833250000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3421036,3562380,0,0,0,0,4
formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,0.5,1784258849.589071,1784258851.015264,18,True,1784258855.095521,1784258855.9617522,1784258855.96195,1784258856.166167,1784258856.0640585,1.41317669,1784258856.1661701,1784258860.2376351,1784258858.2035923,1784258860.237856,1784258860.44204,1784258860.339948,1.41183607,0.5003716325850127,1.412505881781924,1.2,0.23826550000000002,0.4053645,-0.004498500000000001,0.0075267500000000005,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3473542,3544595,0,0,0,0,4
formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,0.5,1784258862.587233,1784258864.0087821,19,True,1784258868.083207,1784258868.947231,1784258868.947437,1784258869.152575,1784258869.050006,1.42122038,1784258869.152577,1784258873.226892,1784258871.1877685,1784258873.227169,1784258873.430916,1784258873.3290424,1.41585792,0.49958969398659875,1.4185413502495847,1.2,0.24057925,0.40967475,-0.004525749999999999,0.007483500000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3431368,3572712,0,0,0,0,4
formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,0.5,1784258905.414109,1784258906.838409,20,True,1784258910.910922,1784258911.775003,1784258911.775222,1784258911.98018,1784258911.877701,0.285718754,1784258911.980184,1784258916.050684,1784258914.015823,1784258916.0509272,1784258916.25525,1784258916.1530886,0.262928285,0.5001001267268096,0.2743212375649366,0.2805665,0.32324125000000004,0.54704,0.0025527500000000003,-0.006265000000000001,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4624107,4522905,0,0,0,0,4
formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,0.5,1784258918.395645,1784258919.814239,21,True,1784258923.890906,1784258924.752012,1784258924.7522209,1784258924.955344,1784258924.8537824,0.269631364,1784258924.955347,1784258929.038763,1784258926.9978743,1784258929.0390441,1784258929.2442088,1784258929.1416264,0.280356291,0.5000396174020981,0.2749942523937454,0.27253725,0.3194265,0.54095975,0.00268875,-0.00640075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4571177,4454732,0,0,0,0,4
formal,down,69,11,0,22,4.600814381317985,4.731367857519084,0.5,1784259012.908515,1784259014.3471549,22,True,1784259018.48294,1784259019.355693,1784259019.355961,1784259019.563147,1784259019.4595542,0.344705852,1784259019.5631502,1784259023.678522,1784259021.6243935,1784259023.678733,1784259023.880714,1784259023.7797236,0.291081218,0.5011005455597827,0.3178345186471563,0.30582725,-0.33350575,-0.5630172499999999,0.00347825,-0.0048822499999999994,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4712182,4679916,0,0,0,0,4
formal,up,69,11,1,23,4.600814381317985,4.470260905116886,0.5,1784259026.057646,1784259027.498782,23,True,1784259031.622464,1784259032.509224,1784259032.5094762,1784259032.714014,1784259032.611745,0.291081218,1784259032.714016,1784259036.835555,1784259034.7819748,1784259036.835775,1784259037.038259,1784259036.937017,0.281696907,0.5017556702158944,0.2863725867446806,0.29615575,-0.329307,-0.5564450000000001,0.00360225,-0.0050135,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4646295,4608694,0,0,0,0,4
formal,up,56,12,0,24,2.9036191907037026,2.7730657145026036,0.5,1784259056.4841821,1784259057.916258,24,True,1784259062.0503628,1784259062.926625,1784259062.926835,1784259063.133205,1784259063.03002,1.03780425,1784259063.133208,1784259067.2467468,1784259065.190776,1784259067.246954,1784259067.4534788,1784259067.3502164,1.01501378,0.5001522884632121,1.0264055442743478,1.007265,-0.39643025,-0.6705595,-0.00014125,0.002019,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5578620,5624690,0,0,0,0,4
formal,down,56,12,1,25,2.9036191907037026,3.0341726669048015,0.5,1784259069.609045,1784259071.058265,25,True,1784259075.176478,1784259076.05329,1784259076.05351,1784259076.263649,1784259076.1585793,0.997585774,1784259076.2636511,1784259080.3921611,1784259078.3324919,1784259080.392551,1784259080.602717,1784259080.497634,1.00562947,0.501010642489052,1.0016157513009465,1.00539275,-0.39619375,-0.670755,-0.00012275,0.0020029999999999996,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5515697,5660597,0,0,0,0,4
formal,down,24,13,0,26,-1.2740920477314557,-1.1435385715303568,0.5,1784259124.522089,1784259125.9691038,26,True,1784259130.1114519,1784259130.977234,1784259130.977461,1784259131.187658,1784259131.0825596,1.02037624,1784259131.18766,1784259135.303712,1784259133.2359781,1784259135.303943,1784259135.510411,1784259135.407177,1.05255102,0.49794429167153653,1.0363974880367874,1.03610475,0.39047200000000004,0.66214425,-0.004098,0.00552275,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5495711,5677535,0,0,0,0,4
formal,up,24,13,1,27,-1.2740920477314557,-1.4046455239325546,0.5,1784259137.6895528,1784259139.1174579,27,True,1784259143.245617,1784259144.114799,1784259144.1151512,1784259144.325325,1784259144.2202382,1.05121041,1784259144.3253279,1784259148.466721,1784259146.396347,1784259148.467107,1784259148.677258,1784259148.5721827,1.03780425,0.5000313914498457,1.0445069091612007,1.026596,0.39258025,0.6664225,-0.0041145,0.00543375,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5556177,5633497,0,0,0,0,4
formal,up,25,14,0,28,-1.1435385715303568,-1.2740920477314557,0.5,1784259149.410469,1784259150.8522592,28,True,1784259154.99423,1784259155.860451,1784259155.860665,1784259156.0707998,1784259155.9657326,1.09947258,1784259156.070802,1784259160.1874518,1784259158.1332817,1784259160.1877718,1784259160.3979352,1784259160.2928534,1.08338519,0.500921800668457,1.0914140556331442,1.0751197499999998,0.3823725,0.64942575,-0.00432075,0.0059865,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5395356,5482923,0,0,0,0,4
formal,down,25,14,1,29,-1.1435385715303568,-1.0129850953292578,0.5,1784259162.56818,1784259164.004,29,True,1784259168.1410718,1784259169.002239,1784259169.00259,1784259169.212749,1784259169.1076694,1.06997903,1784259169.2127519,1784259173.346682,1784259171.2775059,1784259173.346879,1784259173.551559,1784259173.449219,1.08606642,0.4997838798592778,1.0780192481910094,1.0695677499999998,0.3833805,0.6515895,-0.004199,0.0058895,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5398151,5514342,0,0,0,0,4
formal,down,55,15,0,30,2.7730657145026036,2.9036191907037026,0.5,1784259217.4395552,1784259218.886532,30,True,1784259223.019187,1784259223.89277,1784259223.892999,1784259224.1031659,1784259223.9980824,1.09947258,1784259224.103169,1784259228.244731,1784259226.1733444,1784259228.2449448,1784259228.455162,1784259228.3500533,1.09947258,0.4998337578092605,1.09947258,1.091071,-0.37816399999999994,-0.64078625,0.000481,0.00146675,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5326674,5450911,0,0,0,0,4
formal,up,55,15,1,31,2.7730657145026036,2.6425122383015047,0.5,1784259230.6202471,1784259232.052036,31,True,1784259236.1894,1784259237.062977,1784259237.063243,1784259237.273441,1784259237.168342,1.08338519,1784259237.273443,1784259241.384306,1784259239.3307257,1784259241.3847182,1784259241.587009,1784259241.4858637,1.11555997,0.5008390856302486,1.0994995773955545,1.0849735000000003,-0.37981624999999997,-0.64410625,0.00062475,0.00137075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5408482,5467002,0,0,0,0,4
formal,up,64,16,0,32,3.948047000312492,3.817493524111393,0.5,1784259252.40445,1784259253.848027,32,True,1784259257.9901068,1784259258.8649259,1784259258.865324,1784259259.075563,1784259258.9704435,0.544457615,1784259259.075566,1784259263.209492,1784259261.1426628,1784259263.209715,1784259263.419853,1784259263.314784,0.565907468,0.5000112778952978,0.5551827834091962,0.5564935,-0.40245875,-0.6796212500000001,0.00093775,0.00023175,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5615882,5721996,0,0,0,0,4
formal,down,64,16,1,33,3.948047000312492,4.078600476513591,0.5,1784259265.601959,1784259267.036289,33,True,1784259271.174331,1784259272.0464709,1784259272.04672,1784259272.256871,1784259272.1517954,0.540435767,1784259272.256875,1784259276.3685372,1784259274.308073,1784259276.3687549,1784259276.571844,1784259276.4702995,0.556523157,0.49931124507049285,0.5484683817308346,0.54775475,-0.40062075,-0.67725775,0.00098625,0.0001265,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5596235,5682108,0,0,0,0,4
formal,down,16,17,0,34,-2.3185198573402452,-2.1879663811391463,0.5,1784259343.359828,1784259344.793128,34,True,1784259348.9175072,1784259349.793793,1784259349.793962,1784259349.998421,1784259349.8961916,0.58467609,1784259349.998424,1784259354.110399,1784259352.056157,1784259354.1107929,1784259354.321155,1784259354.2159739,0.596741633,0.5000172199875487,0.5907090692685002,0.5628127500000001,0.40283,0.6817655,0.0018145000000000001,-0.00493725,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5703449,5633413,0,0,0,0,4
formal,up,16,17,1,35,-2.3185198573402452,-2.449073333541344,0.5,1784259356.4851022,1784259357.921822,35,True,1784259362.045558,1784259362.909822,1784259362.910021,1784259363.1201842,1784259363.0151026,0.588697938,1784259363.120188,1784259367.238258,1784259365.1851625,1784259367.2385,1784259367.444837,1784259367.3416686,0.575291779,0.5015663528376944,0.5819738597248078,0.5504515,0.4005685,0.6785617500000001,0.0018765000000000001,-0.005043,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-5683971,5617915,0,0,0,0,4
formal,up,35,18,0,36,0.16199619048062974,0.031442714279530826,0.5,1784259392.637449,1784259394.078382,36,True,1784259398.227853,1784259399.110692,1784259399.110967,1784259399.321154,1784259399.2160606,1.50567918,1784259399.3211572,1784259403.4450161,1784259401.3909576,1784259403.4452622,1784259403.655426,1784259403.550344,1.48422933,0.5017892876195137,1.4949158750489546,1.2,0.16978175,0.28937175000000004,-0.0048925,0.0081745,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2462035,2669435,0,0,0,0,4
