sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
14,0,14,-1.8151715811035694,-1.9448266940395385,-0.1296551129359691,1784258124.310741,1784258125.753332,1784258125.0320363,0.732143835,"[dac] CH_A set to -1.945 V (code=26395)
"
15,0,15,-1.9448266940395385,-2.0744818069755078,-0.12965511293596932,1784258125.7535481,1784258127.198863,1784258126.4762056,0.68522228,"[dac] CH_A set to -2.075 V (code=25970)
"
16,0,16,-2.0744818069755078,-2.204136919911477,-0.1296551129359691,1784258127.1990771,1784258128.638263,1784258127.9186702,0.590038554,"[dac] CH_A set to -2.204 V (code=25545)
"
17,0,17,-2.204136919911477,-2.3337920328474464,-0.12965511293596954,1784258128.638465,1784258130.073889,1784258129.3561769,0.561885621,"[dac] CH_A set to -2.334 V (code=25120)
"
18,0,18,-2.3337920328474464,-2.4634471457834155,-0.1296551129359691,1784258130.0745542,1784258131.5031931,1784258130.7888737,0.528370224,"[dac] CH_A set to -2.463 V (code=24696)
"
19,0,19,-2.4634471457834155,-2.5931022587193846,-0.1296551129359691,1784258131.503519,1784258132.9448571,1784258132.224188,0.459998816,"[dac] CH_A set to -2.593 V (code=24271)
"
20,0,20,-2.5931022587193846,-2.722757371655354,-0.12965511293596954,1784258132.9454641,1784258134.394832,1784258133.670148,0.356771395,"[dac] CH_A set to -2.723 V (code=23846)
"
21,0,21,-2.722757371655354,-2.8524124845913232,-0.1296551129359691,1784258134.395039,1784258135.844765,1784258135.1199021,0.339343389,"[dac] CH_A set to -2.852 V (code=23421)
"
22,0,22,-2.8524124845913232,-2.9820675975272923,-0.1296551129359691,1784258135.845149,1784258137.291166,1784258136.5681577,0.30984984,"[dac] CH_A set to -2.982 V (code=22996)
"
23,0,23,-2.9820675975272923,-3.111722710463262,-0.12965511293596954,1784258137.291397,1784258138.7171981,1784258138.0042977,0.256225206,"[dac] CH_A set to -3.112 V (code=22571)
"
24,0,24,-3.111722710463262,-3.241377823399231,-0.1296551129359691,1784258138.71741,1784258140.147639,1784258139.4325247,0.218687962,"[dac] CH_A set to -3.241 V (code=22146)
"
25,0,25,-3.241377823399231,-3.3710329363352,-0.1296551129359691,1784258140.14783,1784258141.5860028,1784258140.8669164,0.181150718,"[dac] CH_A set to -3.371 V (code=21722)
"
26,0,26,-3.3710329363352,-3.500688049271169,-0.1296551129359691,1784258141.5863411,1784258143.02812,1784258142.3072305,0.13825101,"[dac] CH_A set to -3.501 V (code=21297)
"
27,0,27,-3.500688049271169,-3.6303431622071387,-0.12965511293596954,1784258143.028345,1784258144.478094,1784258143.7532196,0.10607623,"[dac] CH_A set to -3.630 V (code=20872)
"
28,0,28,-3.6303431622071387,-3.759998275143108,-0.1296551129359691,1784258144.478282,1784258145.904376,1784258145.191329,0.0846263759,"[dac] CH_A set to -3.760 V (code=20447)
"
