role,direction,grid_index,target_ordinal,pair_position,sequence_index,bias,approach_bias,bias_settle_s,t_approach_set_unix,t_target_set_unix,transition_discard_index,transition_followed_without_reconfigure,t_discard_start_unix,t_discard_end_unix,t_dmm_pre_start_unix,t_dmm_pre_end_unix,t_dmm_pre_mid_unix,dc_dmm_pre,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post_start_unix,t_dmm_post_end_unix,t_dmm_post_mid_unix,dc_dmm_post,dmm_interpolation_weight,dc_dmm_interp,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
formal,down,37,6,1,13,0.4231031428828276,0.5536566190839265,0.5,1784276887.56971,1784276888.990918,13,True,1784276893.1199338,1784276893.979455,1784276893.97979,1784276894.185587,1784276894.0826883,1.3126305,1784276894.18559,1784276898.2829282,1784276896.24078,1784276898.2831712,1784276898.4848158,1784276898.3839936,1.29922434,0.501729506741928,1.3059042339558966,1.2,0.259253,0.440801,-0.005146,0.0083565,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-3698557,3833126,0,0,0,0,4
formal,down,43,7,0,14,1.2064240000894193,1.3369774762905182,0.5,1784276907.850923,1784276909.284302,14,True,1784276913.4263098,1784276914.3123798,1784276914.312604,1784276914.5219991,1784276914.4173017,1.47484502,1784276914.5220008,1784276918.635751,1784276916.5774784,1784276918.635957,1784276918.846109,1784276918.741033,1.45473578,0.49960937508615916,1.4647982551701424,1.2,0.095825,0.16326975,-0.0054087499999999995,0.009441,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1450951,1625661,0,0,0,0,4
formal,up,43,7,1,15,1.2064240000894193,1.0758705238883204,0.5,1784276921.0160909,1784276922.451169,15,True,1784276926.6016462,1784276927.4743738,1784276927.4746518,1784276927.67903,1784276927.5768409,1.4480327,1784276927.679032,1784276931.802378,1784276929.7407575,1784276931.8026,1784276932.011032,1784276931.906816,1.4480327,0.4997526599517037,1.4480327,1.2,0.0933755,0.15927575,-0.00541375,0.0094245,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1408522,1608724,0,0,0,0,4
formal,up,48,8,0,16,1.859191381094913,1.728637904893814,0.5,1784276937.027922,1784276938.457767,16,True,1784276942.5863411,1784276943.469333,1784276943.469573,1784276943.677262,1784276943.5734177,1.4735044,1784276943.677265,1784276947.8009431,1784276945.7368057,1784276947.8011699,1784276948.002388,1784276947.901779,1.46546071,0.49981687698501465,1.4694840279847645,1.2,-0.05924,-0.100771,-0.0044722500000000005,0.00865075,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-942911,1160981,0,0,0,0,4
formal,down,48,8,1,17,1.859191381094913,1.989744857296012,0.5,1784276950.151392,1784276951.583426,17,True,1784276955.708117,1784276956.5763268,1784276956.576577,1784276956.7867498,1784276956.6816635,1.4989761,1784276956.786753,1784276960.907422,1784276958.8472838,1784276960.907667,1784276961.11781,1784276961.0127385,1.45875763,0.5000191293055731,1.4788660956485977,1.2,-0.0623505,-0.106182,-0.004465,0.00862475,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-1022009,1182746,0,0,0,0,4
formal,down,32,9,0,18,-0.22966423812266612,-0.0991107619215672,0.5,1784276981.9596648,1784276983.395221,18,True,1784276987.53642,1784276988.402737,1784276988.402953,1784276988.603316,1784276988.5031345,1.10617566,1784276988.603319,1784276992.728035,1784276990.6694221,1784276992.72826,1784276992.938522,1784276992.8333912,1.11555997,0.500267723236995,1.1108703273978502,1.0847665,0.3458800000000001,0.586618,-0.00292325,0.0041395,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4912214,4909080,0,0,0,0,4
formal,up,32,9,1,19,-0.22966423812266612,-0.36021771432376504,0.5,1784276995.1124759,1784276996.5598059,19,True,1784277000.6649191,1784277001.53796,1784277001.538194,1784277001.748389,1784277001.6432915,1.09947258,1784277001.7483919,1784277005.845736,1784277003.7942162,1784277005.846036,1784277006.051219,1784277005.9486275,1.11421935,0.4995950800004962,1.106839993737899,1.08093225,0.3471245,0.5892802500000001,-0.00293725,0.004134,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-4920090,4982758,0,0,0,0,4
formal,up,11,10,0,20,-2.971287238345739,-3.101840714546838,0.5,1784277038.3767118,1784277039.8182778,20,True,1784277043.9374468,1784277044.8099132,1784277044.8101718,1784277045.018661,1784277044.9144163,0.0484297478,1784277045.018664,1784277049.1433668,1784277047.0794272,1784277049.143698,1784277049.353847,1784277049.2487726,0.0832857601,0.49949998921868943,0.0658403255680565,0.06506225,0.165157,0.279772,0.0040620000000000005,-0.00835325,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2450094,2305024,0,0,0,0,4
formal,down,11,10,1,21,-2.971287238345739,-2.84073376214464,0.5,1784277051.504951,1784277052.943579,21,True,1784277057.0547872,1784277057.9271748,1784277057.9274912,1784277058.133715,1784277058.030603,0.0685389857,1784277058.133718,1784277062.2521899,1784277060.1962962,1784277062.252482,1784277062.4615219,1784277062.3570018,0.0578140588,0.5005764282083465,0.06317034009960239,0.06100575,0.160327,0.271952,0.0041789999999999996,-0.00841925,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-2396910,2236597,0,0,0,0,4
formal,down,69,11,0,22,4.600814381317985,4.731367857519084,0.5,1784277146.626576,1784277148.0676029,22,True,1784277152.182326,1784277153.0519218,1784277153.052325,1784277153.262478,1784277153.1574016,0.610147792,1784277153.2624798,1784277157.378499,1784277155.3181121,1784277157.378719,1784277157.588877,1784277157.483798,0.600763481,0.4994250042791276,0.6054610324386683,0.5877027499999999,-0.3894245,-0.65776325,0.0008064999999999999,0.0005335,1,acq,81920,81920,0,64,True,False,1,1200000,8381618,False,-8388608,5504179,491,0,493,0,4
