sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
79,110,48,2.5529898546207517,2.6816782811618354,0.1286884265410837,1784367542.321472,1784367543.751552,1784367543.036512,1.58075367,"[dac] CH_A set to +2.682 V (code=41555)
"
80,110,49,2.6816782811618354,2.810366707702918,0.1286884265410828,1784367543.7517571,1784367545.183219,1784367544.467488,1.60086291,"[dac] CH_A set to +2.810 V (code=41976)
"
81,110,50,2.810366707702918,2.939055134244001,0.1286884265410828,1784367545.183597,1784367546.634466,1784367545.9090314,1.54991951,"[dac] CH_A set to +2.939 V (code=42398)
"
82,110,51,2.939055134244001,3.067743560785084,0.1286884265410828,1784367546.634644,1784367548.081928,1784367547.358286,1.51104165,"[dac] CH_A set to +3.068 V (code=42820)
"
83,110,52,3.067743560785084,3.1964319873261675,0.1286884265410837,1784367548.082187,1784367549.522673,1784367548.80243,1.52981027,"[dac] CH_A set to +3.196 V (code=43241)
"
84,110,53,3.1964319873261675,3.3251204138672503,0.1286884265410828,1784367549.522898,1784367550.9581618,1784367550.24053,1.46680132,"[dac] CH_A set to +3.325 V (code=43663)
"
85,110,54,3.3251204138672503,3.453808840408333,0.1286884265410828,1784367550.958517,1784367552.376986,1784367551.6677516,1.42658285,"[dac] CH_A set to +3.454 V (code=44085)
"
86,110,55,3.453808840408333,3.582497266949416,0.1286884265410828,1784367552.377223,1784367553.807446,1784367553.0923345,1.35821144,"[dac] CH_A set to +3.582 V (code=44506)
"
87,110,56,3.582497266949416,3.7111856934904988,0.1286884265410828,1784367553.807654,1784367555.248427,1784367554.5280404,1.31531173,"[dac] CH_A set to +3.711 V (code=44928)
"
88,110,57,3.7111856934904988,3.8398741200315825,0.1286884265410837,1784367555.248671,1784367556.705746,1784367555.9772086,1.26302771,"[dac] CH_A set to +3.840 V (code=45350)
"
89,110,58,3.8398741200315825,3.9685625465726653,0.1286884265410828,1784367556.706021,1784367558.1436522,1784367557.4248366,1.20940308,"[dac] CH_A set to +3.969 V (code=45772)
"
90,110,59,3.9685625465726653,4.0972509731137485,0.12868842654108326,1784367558.143848,1784367559.583189,1784367558.8635185,1.16248152,"[dac] CH_A set to +4.097 V (code=46193)
"
91,110,60,4.0972509731137485,4.2259393996548305,0.12868842654108192,1784367559.58341,1784367561.041584,1784367560.3124971,1.12360366,"[dac] CH_A set to +4.226 V (code=46615)
"
92,110,61,4.2259393996548305,4.354627826195914,0.1286884265410837,1784367561.041802,1784367562.487202,1784367561.764502,1.07400088,"[dac] CH_A set to +4.355 V (code=47036)
"
93,110,62,4.354627826195914,4.483316252736996,0.12868842654108192,1784367562.487391,1784367563.9253051,1784367563.206348,0.997585774,"[dac] CH_A set to +4.483 V (code=47458)
"
94,110,63,4.483316252736996,4.61200467927808,0.1286884265410837,1784367563.9255738,1784367565.366178,1784367564.645876,0.913126975,"[dac] CH_A set to +4.612 V (code=47880)
"
95,110,64,4.61200467927808,4.7406931058191635,0.1286884265410837,1784367565.366362,1784367566.803469,1784367566.0849156,0.890336506,"[dac] CH_A set to +4.741 V (code=48302)
"
96,110,65,4.7406931058191635,4.869381532360245,0.12868842654108192,1784367566.8037992,1784367568.234123,1784367567.518961,0.81124017,"[dac] CH_A set to +4.869 V (code=48723)
"
97,110,66,4.869381532360245,4.998069958901329,0.1286884265410837,1784367568.234327,1784367569.666564,1784367568.9504457,0.733484451,"[dac] CH_A set to +4.998 V (code=49145)
"
98,110,67,4.998069958901329,5.126758385442411,0.12868842654108192,1784367569.666816,1784367571.119937,1784367570.3933764,0.716056444,"[dac] CH_A set to +5.127 V (code=49567)
"
99,110,68,5.126758385442411,5.255446811983495,0.1286884265410837,1784367571.120117,1784367572.5582411,1784367571.839179,0.622213334,"[dac] CH_A set to +5.255 V (code=49988)
"
100,110,69,5.255446811983495,5.384135238524578,0.1286884265410837,1784367572.5584269,1784367574.008259,1784367573.2833428,0.548479462,"[dac] CH_A set to +5.384 V (code=50410)
"
101,111,0,5.2535817623234795,5.18830502422293,-0.06527673810054946,1784367602.551359,1784367604.0008771,1784367603.276118,0.636960109,"[dac] CH_A set to +5.188 V (code=49768)
"
102,111,1,5.18830502422293,5.123028286122381,-0.06527673810054946,1784367604.001065,1784367605.440673,1784367604.720869,0.619532103,"[dac] CH_A set to +5.123 V (code=49554)
"
103,112,0,5.2535817623234795,5.127108082253665,-0.12647368006981452,1784367633.9433038,1784367635.378572,1784367634.6609378,0.579313627,"[dac] CH_A set to +5.127 V (code=49568)
"
