dmm_sequence_index,source_sequence_index,side,read_index,t_start_unix,t_end_unix,t_mid_unix,dc_dmm
69,112,pre,5,1784367686.807936,1784367687.0181289,1784367686.9130325,1.54455704
70,112,pre,6,1784367687.0183098,1784367687.225808,1784367687.1220589,1.5405352
71,112,pre,7,1784367687.225995,1784367687.436139,1784367687.331067,1.56198505
72,112,post,0,1784367706.130708,1784367706.3396218,1784367706.2351649,1.54723828
73,112,post,1,1784367706.340714,1784367706.550878,1784367706.445796,1.55260074
74,112,post,2,1784367706.551119,1784367706.7540202,1784367706.6525698,1.54455704
75,112,post,3,1784367706.7542028,1784367706.957879,1784367706.856041,1.54857889
76,112,post,4,1784367706.95808,1784367707.159797,1784367707.0589385,1.51908534
77,112,post,5,1784367707.159997,1784367707.370156,1784367707.2650766,1.54991951
78,112,post,6,1784367707.370354,1784367707.570596,1784367707.470475,1.51238226
79,112,post,7,1784367707.570772,1784367707.780905,1784367707.6758385,1.52846965
80,113,pre,0,1784367717.160535,1784367717.364631,1784367717.262583,1.52578842
81,113,pre,1,1784367717.364907,1784367717.574903,1784367717.469905,1.53517273
82,113,pre,2,1784367717.575077,1784367717.7852259,1784367717.6801515,1.5324915
83,113,pre,3,1784367717.785412,1784367717.991442,1784367717.888427,1.51640411
84,113,pre,4,1784367717.991634,1784367718.195681,1784367718.0936575,1.54723828
85,113,pre,5,1784367718.195863,1784367718.399495,1784367718.297679,1.53383212
86,113,pre,6,1784367718.3997362,1784367718.6020539,1784367718.500895,1.54455704
87,113,pre,7,1784367718.6022332,1784367718.812376,1784367718.7073045,1.54723828
88,113,post,0,1784367737.4869041,1784367737.697058,1784367737.591981,1.52578842
89,113,post,1,1784367737.697242,1784367737.902637,1784367737.7999396,1.54857889
90,113,post,2,1784367737.9028108,1784367738.1044018,1784367738.0036063,1.53115089
91,113,post,3,1784367738.104585,1784367738.312576,1784367738.2085805,1.56868813
92,113,post,4,1784367738.312754,1784367738.515002,1784367738.413878,1.54321643
93,113,post,5,1784367738.5151832,1784367738.716201,1784367738.6156921,1.5579632
94,113,post,6,1784367738.716419,1784367738.9265769,1784367738.821498,1.53785396
95,113,post,7,1784367738.9267552,1784367739.132478,1784367739.0296166,1.55662259
96,114,pre,0,1784367755.741411,1784367755.9515672,1784367755.846489,1.22012801
97,114,pre,1,1784367755.951741,1784367756.157114,1784367756.0544276,1.22683109
98,114,pre,2,1784367756.157311,1784367756.357978,1784367756.2576447,1.23353417
99,114,pre,3,1784367756.358167,1784367756.559953,1784367756.45906,1.20672185
100,114,pre,4,1784367756.560182,1784367756.766294,1784367756.663238,1.2281717
101,114,pre,5,1784367756.766477,1784367756.976588,1784367756.8715324,1.24694032
102,114,pre,6,1784367756.976765,1784367757.183038,1784367757.0799015,1.19331569
103,114,pre,7,1784367757.183222,1784367757.3934422,1784367757.288332,1.20806246
104,114,post,0,1784367776.0486379,1784367776.2544792,1784367776.1515584,1.22280924
105,114,post,1,1784367776.254643,1784367776.464492,1784367776.3595676,1.20538123
106,114,post,2,1784367776.464698,1784367776.67419,1784367776.5694442,1.21878739
107,114,post,3,1784367776.6744928,1784367776.8746948,1784367776.7745938,1.20001877
108,114,post,4,1784367776.8749938,1784367777.084726,1784367776.9798598,1.21610616
109,114,post,5,1784367777.084866,1784367777.290648,1784367777.187757,1.22280924
110,114,post,6,1784367777.290865,1784367777.501073,1784367777.395969,1.20001877
111,114,post,7,1784367777.501257,1784367777.7022169,1784367777.601737,1.2281717
112,115,pre,0,1784367787.094812,1784367787.29834,1784367787.196576,1.23085293
113,115,pre,1,1784367787.298527,1784367787.5086489,1784367787.4035878,1.20672185
114,115,pre,2,1784367787.5088398,1784367787.7150059,1784367787.6119227,1.22012801
115,115,pre,3,1784367787.715391,1784367787.91556,1784367787.8154755,1.21342493
116,115,pre,4,1784367787.915766,1784367788.125886,1784367788.0208259,1.20135938
117,115,pre,5,1784367788.126064,1784367788.3322072,1784367788.2291355,1.23353417
118,115,pre,6,1784367788.332396,1784367788.5425391,1784367788.4374676,1.21744677
119,115,pre,7,1784367788.542732,1784367788.7477188,1784367788.6452255,1.19331569
120,115,post,0,1784367807.430979,1784367807.6411252,1784367807.5360522,1.20672185
121,115,post,1,1784367807.641448,1784367807.851594,1784367807.746521,1.2027
122,115,post,2,1784367807.851786,1784367808.052431,1784367807.9521084,1.20940308
123,115,post,3,1784367808.0526059,1784367808.257139,1784367808.1548724,1.23219355
124,115,post,4,1784367808.257365,1784367808.465544,1784367808.3614545,1.23353417
125,115,post,5,1784367808.465792,1784367808.675926,1784367808.570859,1.20135938
126,115,post,6,1784367808.676112,1784367808.881428,1784367808.77877,1.20538123
127,115,post,7,1784367808.881597,1784367809.091752,1784367808.9866745,1.23755601
128,116,pre,0,1784367825.690885,1784367825.901023,1784367825.795954,0.92787375
129,116,pre,1,1784367825.901209,1784367826.1073122,1784367826.0042605,0.911786359
130,116,pre,2,1784367826.107542,1784367826.317735,1784367826.2126384,0.917148823
131,116,pre,3,1784367826.3179572,1784367826.528131,1784367826.4230442,0.92117067
132,116,pre,4,1784367826.528417,1784367826.7387872,1784367826.6336021,0.92117067
133,116,pre,5,1784367826.738969,1784367826.949097,1784367826.844033,0.911786359
134,116,pre,6,1784367826.949266,1784367827.159421,1784367827.0543435,0.901061433
135,116,pre,7,1784367827.159611,1784367827.3670819,1784367827.2633464,0.909105128
136,116,post,0,1784367846.076235,1784367846.2766669,1784367846.176451,0.886314658
137,116,post,1,1784367846.2769222,1784367846.487073,1784367846.3819976,0.939939292
138,116,post,2,1784367846.4872499,1784367846.687774,1784367846.587512,0.922511286
139,116,post,3,1784367846.6881511,1784367846.898301,1784367846.793226,0.887655274
140,116,post,4,1784367846.8984902,1784367847.106993,1784367847.0027416,0.919830055
141,116,post,5,1784367847.1071858,1784367847.317312,1784367847.2122488,0.903742664
