sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
15,0,15,-1.9448266940395385,-2.0744818069755078,-0.12965511293596932,1784278253.766264,1784278255.194607,1784278254.4804354,0.324596614,"[dac] CH_A set to -2.075 V (code=25970)
"
16,0,16,-2.0744818069755078,-2.204136919911477,-0.1296551129359691,1784278255.194788,1784278256.6131809,1784278255.9039845,0.266950132,"[dac] CH_A set to -2.204 V (code=25545)
"
17,0,17,-2.204136919911477,-2.3337920328474464,-0.12965511293596954,1784278256.613418,1784278258.050365,1784278257.3318915,0.262928285,"[dac] CH_A set to -2.334 V (code=25120)
"
18,0,18,-2.3337920328474464,-2.4634471457834155,-0.1296551129359691,1784278258.050598,1784278259.4743629,1784278258.7624803,0.195897492,"[dac] CH_A set to -2.463 V (code=24696)
"
19,0,19,-2.4634471457834155,-2.5931022587193846,-0.1296551129359691,1784278259.4746082,1784278260.90255,1784278260.188579,0.159700864,"[dac] CH_A set to -2.593 V (code=24271)
"
20,0,20,-2.5931022587193846,-2.722757371655354,-0.12965511293596954,1784278260.902761,1784278262.335316,1784278261.6190386,0.118141772,"[dac] CH_A set to -2.723 V (code=23846)
"
21,0,21,-2.722757371655354,-2.8524124845913232,-0.1296551129359691,1784278262.335527,1784278263.758646,1784278263.0470865,0.100713766,"[dac] CH_A set to -2.852 V (code=23421)
"
22,0,22,-2.8524124845913232,-2.9820675975272923,-0.1296551129359691,1784278263.758848,1784278265.182645,1784278264.4707465,0.0645171381,"[dac] CH_A set to -2.982 V (code=22996)
"
23,0,23,-2.9820675975272923,-3.111722710463262,-0.12965511293596954,1784278265.182959,1784278266.6157892,1784278265.899374,0.0604952905,"[dac] CH_A set to -3.112 V (code=22571)
"
24,0,24,-3.111722710463262,-3.241377823399231,-0.1296551129359691,1784278266.6159842,1784278268.0499158,1784278267.33295,0.0055303573,"[dac] CH_A set to -3.241 V (code=22146)
"
25,0,25,-3.241377823399231,-3.3710329363352,-0.1296551129359691,1784278268.050158,1784278269.498399,1784278268.7742786,0.0524515954,"[dac] CH_A set to -3.371 V (code=21722)
"
26,0,26,-3.3710329363352,-3.500688049271169,-0.1296551129359691,1784278269.4986382,1784278270.932985,1784278270.2158117,0.0537922112,"[dac] CH_A set to -3.501 V (code=21297)
"
27,0,27,-3.500688049271169,-3.6303431622071387,-0.12965511293596954,1784278270.9331908,1784278272.3673868,1784278271.6502888,-0.00921641712,"[dac] CH_A set to -3.630 V (code=20872)
"
28,0,28,-3.6303431622071387,-3.759998275143108,-0.1296551129359691,1784278272.367619,1784278273.792507,1784278273.0800629,-0.0159192223,"[dac] CH_A set to -3.760 V (code=20447)
"
