repeat_sequence_index,point_ordinal,grid_index,block_index,condition,condition_ordinal,repeat_index,bias,approach_bias,restart_gen,restart_acq,t_restart_start_unix,t_restart_end_unix,t_discard_start_unix,t_discard_end_unix,t_dmm_pre1_start_unix,t_dmm_pre1_end_unix,dc_dmm_pre1,t_dmm_pre2_start_unix,t_dmm_pre2_end_unix,dc_dmm_pre2,t_acq_start_unix,t_acq_end_unix,t_acq_mid_unix,t_dmm_post1_start_unix,t_dmm_post1_end_unix,dc_dmm_post1,t_dmm_post2_start_unix,t_dmm_post2_end_unix,dc_dmm_post2,dc_board,I1,Q1,I2,Q2,rawadc_version,rawadc_scope,rawadc_expected,rawadc_used,rawadc_read_fail,rawadc_blocks,rawadc_complete,rawadc_timeout,rawadc_gain,rawadc_fs_uv,rawadc_guard,rawadc_crc,rawadc_ch0_min,rawadc_ch0_max,rawadc_ch0_rail_lo,rawadc_ch0_rail_hi,rawadc_ch0_guard_lo,rawadc_ch0_guard_hi,rawadc_windows
10,0,40,0,none,0,10,0.8147635714861234,0.6842100952850247,0,0,1784286960.169622,1784286960.169622,1784286960.903849,1784286961.768981,1784286961.769152,1784286961.977623,1.59013798,1784286961.9776251,1784286962.1898408,1.58477552,1784286962.189847,1784286964.261827,1784286963.2271938,1784286964.26259,1784286964.467597,1.60220353,1784286964.4675992,1784286964.6777248,1.57673182,1.2,0.1907645,0.32736149999999997,-0.0023815,0.0035545,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2806120,2887505,0,0,0,0,2
11,0,40,0,none,0,11,0.8147635714861234,0.6842100952850247,0,0,1784286964.67837,1784286964.67837,1784286965.4037042,1784286966.2896168,1784286966.290067,1784286966.493099,1.56466628,1784286966.4931011,1784286966.704482,1.57673182,1784286966.704489,1784286968.76025,1784286967.7296572,1784286968.76044,1784286968.970606,1.57807244,1784286968.970609,1784286969.180943,1.59952229,1.2,0.1905095,0.3268625,-0.0023940000000000003,0.0035445,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2841012,2930696,0,0,0,0,2
12,0,40,1,gen,1,0,0.8147635714861234,0.6842100952850247,1,0,1784286974.702183,1784286976.904609,1784286977.626127,1784286978.502812,1784286978.503644,1784286978.713241,1.57002875,1784286978.7132459,1784286978.9188669,1.59013798,1784286978.918873,1784286980.993807,1784286979.9586143,1784286980.994018,1784286981.1998131,1.59818168,1784286981.1998148,1784286981.4103239,1.57807244,1.2,0.1900675,0.3262585,-0.0023885,0.0035735000000000003,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2816706,2896482,0,0,0,0,2
13,0,40,1,gen,1,1,0.8147635714861234,0.6842100952850247,1,0,1784286981.410918,1784286983.618901,1784286984.348317,1784286985.232128,1784286985.23233,1784286985.4461188,1.58075367,1784286985.4461231,1784286985.653279,1.55126012,1784286985.6532822,1784286987.7368162,1784286986.6944962,1784286987.737021,1784286987.945034,1.58745675,1784286987.9450371,1784286988.15557,1.59818168,1.2,0.189701,0.32566249999999997,-0.002412,0.0036005,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2809677,2864301,0,0,0,0,2
14,0,40,1,gen,1,2,0.8147635714861234,0.6842100952850247,1,0,1784286988.157473,1784286990.3518348,1784286991.0905468,1784286991.962682,1784286991.963233,1784286992.172385,1.56734751,1784286992.172389,1784286992.376975,1.58477552,1784286992.376982,1784286994.464607,1784286993.4208512,1784286994.4649248,1784286994.6773288,1.60220353,1784286994.677331,1784286994.879028,1.56332567,1.2,0.1894195,0.32514299999999996,-0.002412,0.0035765,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2797228,2860828,0,0,0,0,2
15,0,40,1,gen,1,3,0.8147635714861234,0.6842100952850247,1,0,1784286994.8796842,1784286997.060811,1784286997.797776,1784286998.685072,1784286998.685287,1784286998.8955038,1.59818168,1784286998.895524,1784286999.1060538,1.58611614,1784286999.10606,1784287001.1920419,1784287000.1468315,1784287001.1977978,1784287001.408225,1.57941306,1784287001.408229,1784287001.62015,1.5834349,1.2,0.1892085,0.3249365,-0.0024070000000000003,0.00361,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2820009,2828224,0,0,0,0,2
16,0,40,1,gen,1,4,0.8147635714861234,0.6842100952850247,1,0,1784287001.622615,1784287003.8313222,1784287004.57636,1784287005.459915,1784287005.463107,1784287005.6739242,1.60622537,1784287005.673928,1784287005.883942,1.58745675,1784287005.883948,1784287007.966978,1784287006.925814,1784287007.96827,1784287008.178708,1.58879737,1784287008.1787121,1784287008.381084,1.62365338,1.2,0.1888045,0.3241225,-0.002411,0.0035989999999999998,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2792486,2932474,0,0,0,0,2
17,0,40,1,gen,1,5,0.8147635714861234,0.6842100952850247,1,0,1784287008.384137,1784287010.597743,1784287011.3266718,1784287012.207576,1784287012.2082381,1784287012.418986,1.5914786,1784287012.4189901,1784287012.629536,1.58611614,1784287012.6295428,1784287014.714427,1784287013.6726909,1784287014.7157388,1784287014.923038,1.57405059,1784287014.923042,1784287015.133408,1.56868813,1.2,0.188586,0.32382900000000003,-0.0024075,0.003608,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2745230,2832119,0,0,0,0,2
18,0,40,1,gen,1,6,0.8147635714861234,0.6842100952850247,1,0,1784287015.134048,1784287017.307462,1784287018.048477,1784287018.932893,1784287018.9334002,1784287019.139796,1.57673182,1784287019.139801,1784287019.349188,1.58075367,1784287019.349194,1784287021.43545,1784287020.3916547,1784287021.4358459,1784287021.6428869,1.57807244,1784287021.642891,1784287021.845829,1.59818168,1.2,0.1883005,0.32339,-0.0024235,0.0035965,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2793671,2832543,0,0,0,0,2
19,0,40,1,gen,1,7,0.8147635714861234,0.6842100952850247,1,0,1784287021.846622,1784287024.035094,1784287024.7587771,1784287025.636249,1784287025.636804,1784287025.846977,1.57539121,1784287025.84698,1784287026.0572228,1.5914786,1784287026.057229,1784287028.123508,1784287027.0948355,1784287028.123699,1784287028.3356931,1.59818168,1784287028.335695,1784287028.540392,1.58611614,1.2,0.1880475,0.3229955,-0.002449,0.003608,1,acq,40960,40960,0,32,True,False,1,1200000,8381618,False,-2813827,2871923,0,0,0,0,2
