sequence_index,observation_sequence_index,bridge_step_index,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
11,0,11,-1.4262062422956616,-1.555861355231631,-0.12965511293596932,1784345386.128321,1784345387.551025,1784345386.839673,0.362133858,"[dac] CH_A set to -1.556 V (code=27669)
"
12,0,12,-1.555861355231631,-1.6855164681676,-0.1296551129359691,1784345387.551593,1784345388.984442,1784345388.2680175,0.312531072,"[dac] CH_A set to -1.686 V (code=27245)
"
13,0,13,-1.6855164681676,-1.8151715811035694,-0.12965511293596932,1784345388.9846961,1784345390.4078982,1784345389.6962972,0.225391041,"[dac] CH_A set to -1.815 V (code=26820)
"
14,0,14,-1.8151715811035694,-1.9448266940395385,-0.1296551129359691,1784345390.408112,1784345391.836441,1784345391.1222765,0.19321626,"[dac] CH_A set to -1.945 V (code=26395)
"
15,0,15,-1.9448266940395385,-2.0744818069755078,-0.12965511293596932,1784345391.8366551,1784345393.279757,1784345392.558206,0.147635321,"[dac] CH_A set to -2.075 V (code=25970)
"
16,0,16,-2.0744818069755078,-2.204136919911477,-0.1296551129359691,1784345393.279982,1784345394.723409,1784345394.0016956,0.135569778,"[dac] CH_A set to -2.204 V (code=25545)
"
17,0,17,-2.204136919911477,-2.3337920328474464,-0.12965511293596954,1784345394.7236621,1784345396.159997,1784345395.4418297,0.0846263759,"[dac] CH_A set to -2.334 V (code=25120)
"
18,0,18,-2.3337920328474464,-2.4634471457834155,-0.1296551129359691,1784345396.160181,1784345397.589199,1784345396.87469,0.0685389857,"[dac] CH_A set to -2.463 V (code=24696)
"
19,0,19,-2.4634471457834155,-2.5931022587193846,-0.1296551129359691,1784345397.5894752,1784345399.028791,1784345398.309133,0.0484297478,"[dac] CH_A set to -2.593 V (code=24271)
"
20,0,20,-2.5931022587193846,-2.722757371655354,-0.12965511293596954,1784345399.028982,1784345400.461681,1784345399.7453313,0.0135737355,"[dac] CH_A set to -2.723 V (code=23846)
"
21,0,21,-2.722757371655354,-2.8524124845913232,-0.1296551129359691,1784345400.461869,1784345401.8961868,1784345401.179028,0.0390454368,"[dac] CH_A set to -2.852 V (code=23421)
"
22,0,22,-2.8524124845913232,-2.9820675975272923,-0.1296551129359691,1784345401.8964539,1784345403.329636,1784345402.613045,0.00553022027,"[dac] CH_A set to -2.982 V (code=22996)
"
23,0,23,-2.9820675975272923,-3.111722710463262,-0.12965511293596954,1784345403.3299232,1784345404.766203,1784345404.048063,0.0202768148,"[dac] CH_A set to -3.112 V (code=22571)
"
24,0,24,-3.111722710463262,-3.241377823399231,-0.1296551129359691,1784345404.7665532,1784345406.18927,1784345405.4779115,0.0350235893,"[dac] CH_A set to -3.241 V (code=22146)
"
25,0,25,-3.241377823399231,-3.3710329363352,-0.1296551129359691,1784345406.189473,1784345407.631001,1784345406.9102368,0.0122331197,"[dac] CH_A set to -3.371 V (code=21722)
"
26,0,26,-3.3710329363352,-3.500688049271169,-0.1296551129359691,1784345407.631222,1784345409.062263,1784345408.3467426,0.0175955831,"[dac] CH_A set to -3.501 V (code=21297)
"
27,0,27,-3.500688049271169,-3.6303431622071387,-0.12965511293596954,1784345409.0624661,1784345410.498245,1784345409.7803555,0.0457485161,"[dac] CH_A set to -3.630 V (code=20872)
"
28,0,28,-3.6303431622071387,-3.759998275143108,-0.1296551129359691,1784345410.498446,1784345411.940358,1784345411.2194018,0.065857754,"[dac] CH_A set to -3.760 V (code=20447)
"
