sequence_index,point_ordinal,bridge_step_index,is_target,from_bias,bias,delta_bias,t_start_unix,t_end_unix,t_mid_unix,dc_dmm,dac_response
28,1,21,0,-1.9268594287369494,-2.057412904938048,-0.13055347620109847,1784287783.358135,1784287784.80048,1784287784.0793076,0.3487277,"[dac] CH_A set to -2.057 V (code=26026)
"
29,1,22,0,-2.057412904938048,-2.1879663811391463,-0.13055347620109847,1784287784.802492,1784287786.2531729,1784287785.5278325,0.265609517,"[dac] CH_A set to -2.188 V (code=25598)
"
30,1,23,0,-2.1879663811391463,-2.3185198573402452,-0.13055347620109892,1784287786.253952,1784287787.702057,1784287786.9780045,0.250862742,"[dac] CH_A set to -2.319 V (code=25170)
"
31,1,24,0,-2.3185198573402452,-2.449073333541344,-0.13055347620109892,1784287787.702545,1784287789.151,1784287788.4267726,0.19321626,"[dac] CH_A set to -2.449 V (code=24742)
"
32,1,25,0,-2.449073333541344,-2.5796268097424426,-0.13055347620109847,1784287789.151524,1784287790.603231,1784287789.8773775,0.157019632,"[dac] CH_A set to -2.580 V (code=24315)
"
33,1,26,0,-2.5796268097424426,-2.710180285943541,-0.13055347620109847,1784287790.603901,1784287792.048275,1784287791.326088,0.119482388,"[dac] CH_A set to -2.710 V (code=23887)
"
34,1,27,0,-2.710180285943541,-2.84073376214464,-0.13055347620109892,1784287792.051702,1784287793.499657,1784287792.7756796,0.104735614,"[dac] CH_A set to -2.841 V (code=23459)
"
35,1,28,0,-2.84073376214464,-2.971287238345739,-0.13055347620109892,1784287793.5001569,1784287794.9504561,1784287794.2253065,0.0671983698,"[dac] CH_A set to -2.971 V (code=23031)
"
36,1,29,0,-2.971287238345739,-3.1018407145468374,-0.13055347620109847,1784287794.950939,1784287796.401676,1784287795.6763074,0.0350235893,"[dac] CH_A set to -3.102 V (code=22604)
"
37,1,30,0,-3.1018407145468374,-3.232394190747936,-0.13055347620109847,1784287796.402399,1784287797.852107,1784287797.127253,-0.00251342919,"[dac] CH_A set to -3.232 V (code=22176)
"
38,1,31,0,-3.232394190747936,-3.362947666949035,-0.13055347620109892,1784287797.852319,1784287799.3058088,1784287798.579064,0.0122334366,"[dac] CH_A set to -3.363 V (code=21748)
"
39,1,32,0,-3.362947666949035,-3.4935011431501337,-0.13055347620109892,1784287799.306297,1784287800.763063,1784287800.03468,-0.00519470658,"[dac] CH_A set to -3.493 V (code=21320)
"
40,1,33,0,-3.4935011431501337,-3.6240546193512326,-0.13055347620109892,1784287800.7636092,1784287802.225442,1784287801.4945254,0.0256392783,"[dac] CH_A set to -3.624 V (code=20892)
"
41,1,34,0,-3.6240546193512326,-3.7546080955523307,-0.13055347620109803,1784287802.2259269,1784287803.668842,1784287802.9473844,0.000167619806,"[dac] CH_A set to -3.755 V (code=20465)
"
42,1,35,0,-3.7546080955523307,-3.8851615717534296,-0.13055347620109892,1784287803.6693099,1784287805.1073751,1784287804.3883424,0.0310017417,"[dac] CH_A set to -3.885 V (code=20037)
"
43,1,36,0,-3.8851615717534296,-4.0157150479545285,-0.13055347620109892,1784287805.108151,1784287806.550236,1784287805.8291936,0.0350235893,"[dac] CH_A set to -4.016 V (code=19609)
"
44,1,37,0,-4.0157150479545285,-4.1462685241556265,-0.13055347620109803,1784287806.5510452,1784287807.98845,1784287807.2697477,0.0484297478,"[dac] CH_A set to -4.146 V (code=19181)
"
45,1,38,0,-4.1462685241556265,-4.276822000356725,-0.13055347620109892,1784287807.9890208,1784287809.445898,1784287808.7174594,0.0671983698,"[dac] CH_A set to -4.277 V (code=18753)
"
46,1,39,0,-4.276822000356725,-4.407375476557824,-0.13055347620109892,1784287809.446529,1784287810.8848221,1784287810.1656756,0.0993731504,"[dac] CH_A set to -4.407 V (code=18326)
"
47,1,40,0,-4.407375476557824,-4.537928952758923,-0.13055347620109892,1784287810.88502,1784287812.327008,1784287811.606014,0.140932242,"[dac] CH_A set to -4.538 V (code=17898)
"
48,1,41,1,-4.537928952758923,-4.407375476557824,0.13055347620109892,1784287812.327183,1784287813.769513,1784287813.048348,0.120823004,"[dac] CH_A set to -4.407 V (code=18326)
"
